Total Players,53287,16/12/19 00:00:01
Germany,15533,16/12/19 02:00:01
UK,17672,16/12/19 01:00:01
USA,20085,16/12/18 17:00:01
Total Players,53202,16/12/19 00:02:01
Germany,15505,16/12/19 02:02:01
UK,17592,16/12/19 01:02:01
USA,20105,16/12/18 17:02:01
Total Players,53251,16/12/19 00:04:01
Germany,15448,16/12/19 02:04:01
UK,17625,16/12/19 01:04:01
USA,19426,16/12/18 17:04:01
Total Players,53199,16/12/19 00:06:01
Germany,15521,16/12/19 02:06:01
UK,17578,16/12/19 01:06:01
USA,20101,16/12/18 17:06:01
Total Players,53131,16/12/19 00:08:01
Germany,15449,16/12/19 02:08:01
UK,17583,16/12/19 01:08:01
USA,20099,16/12/18 17:08:01
Total Players,53042,16/12/19 00:10:01
Germany,15456,16/12/19 02:10:01
UK,17558,16/12/19 01:10:01
USA,20018,16/12/18 17:10:01
Total Players,52908,16/12/19 00:12:01
Germany,15365,16/12/19 02:12:01
UK,17561,16/12/19 01:12:01
USA,19982,16/12/18 17:12:01
Total Players,52868,16/12/19 00:14:01
Germany,15377,16/12/19 02:14:01
UK,17505,16/12/19 01:14:01
USA,19210,16/12/18 17:14:01
Total Players,52834,16/12/19 00:16:01
Germany,15323,16/12/19 02:16:01
UK,17471,16/12/19 01:16:01
USA,19246,16/12/18 17:16:01
Total Players,52708,16/12/19 00:18:01
Germany,15262,16/12/19 02:18:01
UK,17428,16/12/19 01:18:01
USA,19223,16/12/18 17:18:01
Total Players,52605,16/12/19 00:20:01
Germany,15245,16/12/19 02:20:01
UK,17318,16/12/19 01:20:01
USA,19272,16/12/18 17:20:01
Total Players,52470,16/12/19 00:22:01
Germany,15261,16/12/19 02:22:01
UK,17232,16/12/19 01:22:01
USA,19977,16/12/18 17:22:01
Total Players,52459,16/12/19 00:24:01
Germany,15170,16/12/19 02:24:01
UK,17244,16/12/19 01:24:01
USA,19285,16/12/18 17:24:01
Total Players,52359,16/12/19 00:26:01
Germany,15113,16/12/19 02:26:01
UK,17209,16/12/19 01:26:01
USA,20037,16/12/18 17:26:01
Total Players,52365,16/12/19 00:28:01
Germany,15154,16/12/19 02:28:01
UK,17183,16/12/19 01:28:01
USA,19267,16/12/18 17:28:01
Total Players,52398,16/12/19 00:30:01
Germany,15117,16/12/19 02:30:01
UK,17185,16/12/19 01:30:01
USA,19349,16/12/18 17:30:01
Total Players,52336,16/12/19 00:32:01
Germany,15074,16/12/19 02:32:01
UK,17147,16/12/19 01:32:01
USA,20115,16/12/18 17:32:01
Total Players,52348,16/12/19 00:34:01
Germany,15070,16/12/19 02:34:01
UK,17129,16/12/19 01:34:01
USA,19361,16/12/18 17:34:01
Total Players,52272,16/12/19 00:36:01
Germany,14993,16/12/19 02:36:01
UK,17096,16/12/19 01:36:01
USA,19446,16/12/18 17:36:01
Total Players,52182,16/12/19 00:38:01
Germany,14982,16/12/19 02:38:01
UK,17078,16/12/19 01:38:01
USA,19377,16/12/18 17:38:01
Total Players,52205,16/12/19 00:40:01
Germany,14964,16/12/19 02:40:01
UK,17123,16/12/19 01:40:01
USA,20118,16/12/18 17:40:01
Total Players,52196,16/12/19 00:42:01
Germany,14992,16/12/19 02:42:01
UK,17115,16/12/19 01:42:01
USA,19346,16/12/18 17:42:01
Total Players,52126,16/12/19 00:44:01
Germany,14970,16/12/19 02:44:01
