Total Players,54083,17/02/18 00:00:01
Germany,13115,17/02/18 02:00:01
UK,6543,17/02/18 01:00:01
USA,23226,17/02/17 17:00:01
Total Players,54046,17/02/18 00:02:01
Germany,13058,17/02/18 02:02:01
UK,6459,17/02/18 01:02:01
USA,23336,17/02/17 17:02:01
Total Players,54024,17/02/18 00:04:02
Germany,13150,17/02/18 02:04:02
UK,6424,17/02/18 01:04:02
USA,23268,17/02/17 17:04:02
Total Players,53898,17/02/18 00:06:01
Germany,13073,17/02/18 02:06:01
UK,6467,17/02/18 01:06:01
USA,23253,17/02/17 17:06:01
Total Players,53858,17/02/18 00:08:01
Germany,13038,17/02/18 02:08:01
UK,6419,17/02/18 01:08:01
USA,23300,17/02/17 17:08:01
Total Players,53799,17/02/18 00:10:01
Germany,13017,17/02/18 02:10:01
UK,6437,17/02/18 01:10:01
USA,23179,17/02/17 17:10:01
Total Players,53800,17/02/18 00:12:01
Germany,13023,17/02/18 02:12:01
UK,6447,17/02/18 01:12:01
USA,23193,17/02/17 17:12:01
Total Players,53710,17/02/18 00:14:01
Germany,12996,17/02/18 02:14:01
UK,6347,17/02/18 01:14:01
USA,23952,17/02/17 17:14:01
Total Players,53542,17/02/18 00:16:01
Germany,12992,17/02/18 02:16:01
UK,6261,17/02/18 01:16:01
USA,23213,17/02/17 17:16:01
Total Players,53511,17/02/18 00:18:01
Germany,12958,17/02/18 02:18:01
UK,6275,17/02/18 01:18:01
USA,23222,17/02/17 17:18:01
Total Players,53525,17/02/18 00:20:01
Germany,12970,17/02/18 02:20:01
UK,6250,17/02/18 01:20:01
USA,23228,17/02/17 17:20:01
Total Players,53230,17/02/18 00:22:01
Germany,12848,17/02/18 02:22:01
UK,6264,17/02/18 01:22:01
USA,23128,17/02/17 17:22:01
Total Players,53248,17/02/18 00:24:01
Germany,12900,17/02/18 02:24:01
UK,6230,17/02/18 01:24:01
USA,23121,17/02/17 17:24:01
Total Players,53510,17/02/18 00:26:01
Germany,13065,17/02/18 02:26:01
UK,6257,17/02/18 01:26:01
USA,23166,17/02/17 17:26:01
Total Players,53497,17/02/18 00:28:01
Germany,13046,17/02/18 02:28:01
UK,6262,17/02/18 01:28:01
USA,23261,17/02/17 17:28:01
Total Players,53419,17/02/18 00:30:01
Germany,12995,17/02/18 02:30:01
UK,6297,17/02/18 01:30:01
USA,23909,17/02/17 17:30:01
Total Players,53451,17/02/18 00:32:01
Germany,13009,17/02/18 02:32:01
UK,6308,17/02/18 01:32:01
USA,23180,17/02/17 17:32:01
Total Players,53200,17/02/18 00:34:01
Germany,12901,17/02/18 02:34:01
UK,6327,17/02/18 01:34:01
USA,23055,17/02/17 17:34:01
Total Players,53253,17/02/18 00:36:01
Germany,12911,17/02/18 02:36:01
UK,6325,17/02/18 01:36:01
USA,23144,17/02/17 17:36:01
Total Players,53092,17/02/18 00:38:01
Germany,12876,17/02/18 02:38:01
UK,6325,17/02/18 01:38:01
USA,23841,17/02/17 17:38:01
Total Players,53043,17/02/18 00:40:01
Germany,12785,17/02/18 02:40:01
UK,6334,17/02/18 01:40:01
USA,23895,17/02/17 17:40:01
Total Players,52898,17/02/18 00:42:01
Germany,12739,17/02/18 02:42:01
UK,6279,17/02/18 01:42:01
USA,23809,17/02/17 17:42:01
Total Players,52802,17/02/18 00:44:01
Germany,12741,17/02/18 02:44:01
UK,6239,17/02/18 01:44:01
USA,23829,17/02/17 17:44:01
Total Players,52582,17/02/18 00:46:01
Germany,12671,17/02/18 02:46:01
UK,6247,17/02/18 01:46:01
USA,23734,17/02/17 17:46:01
Total Players,52228,17/02/18 00:48:01
Germany,12518,17/02/18 02:48:01
UK,6195,17/02/18 01:48:01
USA,23610,17/02/17 17:48:01
Total Players,52261,17/02/18 00:50:01
Germany,12513,17/02/18 02:50:01
UK,6133,17/02/18 01:50:01
USA,23692,17/02/17 17:50:01
Total Players,52424,17/02/18 00:52:01
Germany,12628,17/02/18 02:52:01
UK,6116,17/02/18 01:52:01
USA,22960,17/02/17 17:52:01
Total Players,52465,17/02/18 00:54:01
Germany,12573,17/02/18 02:54:01
UK,6168,17/02/18 01:54:01
USA,23742,17/02/17 17:54:01
Total Players,52403,17/02/18 00:56:01
Germany,12582,17/02/18 02:56:01
UK,6124,17/02/18 01:56:01
USA,23786,17/02/17 17:56:01
Total Players,52289,17/02/18 00:58:01
Germany,12500,17/02/18 02:58:01
UK,6128,17/02/18 01:58:01
USA,23763,17/02/17 17:58:01
Total Players,52301,17/02/18 01:00:01
Germany,12468,17/02/18 03:00:01
UK,6150,17/02/18 02:00:01
USA,23812,17/02/17 18:00:01
Total Players,52222,17/02/18 01:02:01
Germany,12516,17/02/18 03:02:01
UK,6120,17/02/18 02:02:01
USA,23833,17/02/17 18:02:01
Total Players,52290,17/02/18 01:04:01
Germany,12422,17/02/18 03:04:01
UK,6140,17/02/18 02:04:01
USA,23194,17/02/17 18:04:01
Total Players,52144,17/02/18 01:06:01
Germany,12412,17/02/18 03:06:01
UK,6104,17/02/18 02:06:01
USA,23184,17/02/17 18:06:01
Total Players,52129,17/02/18 01:08:01
Germany,12453,17/02/18 03:08:01
UK,6138,17/02/18 02:08:01
USA,23027,17/02/17 18:08:01
Total Players,52014,17/02/18 01:10:01
Germany,12376,17/02/18 03:10:01
UK,6131,17/02/18 02:10:01
USA,23028,17/02/17 18:10:01
Total Players,51945,17/02/18 01:12:01
Germany,12395,17/02/18 03:12:01
UK,6117,17/02/18 02:12:01
USA,23773,17/02/17 18:12:01
Total Players,51909,17/02/18 01:14:01
Germany,12368,17/02/18 03:14:01
UK,6114,17/02/18 02:14:01
