Total Players,48890,17/03/10 00:00:02
Germany,11702,17/03/10 02:00:02
UK,5134,17/03/10 01:00:02
USA,22403,17/03/09 17:00:02
Total Players,48886,17/03/10 00:02:01
Germany,11693,17/03/10 02:02:01
UK,5140,17/03/10 01:02:01
USA,22396,17/03/09 17:02:01
Total Players,48962,17/03/10 00:04:01
Germany,11686,17/03/10 02:04:01
UK,5172,17/03/10 01:04:01
USA,22486,17/03/09 17:04:01
Total Players,48800,17/03/10 00:06:01
Germany,11623,17/03/10 02:06:01
UK,5180,17/03/10 01:06:01
USA,22333,17/03/09 17:06:01
Total Players,48616,17/03/10 00:08:01
Germany,11542,17/03/10 02:08:01
UK,5148,17/03/10 01:08:01
USA,22303,17/03/09 17:08:01
Total Players,48665,17/03/10 00:10:01
Germany,11556,17/03/10 02:10:01
UK,5157,17/03/10 01:10:01
USA,22392,17/03/09 17:10:01
Total Players,48641,17/03/10 00:12:01
Germany,11597,17/03/10 02:12:01
UK,5115,17/03/10 01:12:01
USA,22353,17/03/09 17:12:01
Total Players,48673,17/03/10 00:14:01
Germany,11616,17/03/10 02:14:01
UK,5105,17/03/10 01:14:01
USA,22395,17/03/09 17:14:01
Total Players,48558,17/03/10 00:16:01
Germany,11492,17/03/10 02:16:01
UK,5073,17/03/10 01:16:01
USA,22444,17/03/09 17:16:01
Total Players,48546,17/03/10 00:18:01
Germany,11494,17/03/10 02:18:01
UK,5071,17/03/10 01:18:01
USA,22442,17/03/09 17:18:01
Total Players,48254,17/03/10 00:20:01
Germany,11365,17/03/10 02:20:01
UK,5043,17/03/10 01:20:01
USA,22328,17/03/09 17:20:01
Total Players,48264,17/03/10 00:22:02
Germany,11395,17/03/10 02:22:02
UK,5021,17/03/10 01:22:02
USA,22343,17/03/09 17:22:02
Total Players,48367,17/03/10 00:24:01
Germany,11378,17/03/10 02:24:01
UK,5012,17/03/10 01:24:01
USA,22392,17/03/09 17:24:01
Total Players,48267,17/03/10 00:26:01
Germany,11312,17/03/10 02:26:01
UK,4978,17/03/10 01:26:01
USA,22402,17/03/09 17:26:01
Total Players,48404,17/03/10 00:28:01
Germany,11356,17/03/10 02:28:01
UK,4979,17/03/10 01:28:01
USA,22476,17/03/09 17:28:01
Total Players,48446,17/03/10 00:30:01
Germany,11362,17/03/10 02:30:01
UK,4999,17/03/10 01:30:01
USA,22537,17/03/09 17:30:01
Total Players,48438,17/03/10 00:32:01
Germany,11345,17/03/10 02:32:01
UK,5049,17/03/10 01:32:01
USA,22545,17/03/09 17:32:01
Total Players,48330,17/03/10 00:34:01
Germany,11298,17/03/10 02:34:01
UK,5040,17/03/10 01:34:01
USA,22515,17/03/09 17:34:01
Total Players,48348,17/03/10 00:36:01
Germany,11279,17/03/10 02:36:01
UK,5078,17/03/10 01:36:01
USA,22569,17/03/09 17:36:01
Total Players,48409,17/03/10 00:38:01
Germany,11315,17/03/10 02:38:01
UK,5023,17/03/10 01:38:01
USA,22718,17/03/09 17:38:01
Total Players,48313,17/03/10 00:40:01
Germany,11319,17/03/10 02:40:01
UK,5018,17/03/10 01:40:01
USA,22620,17/03/09 17:40:01
Total Players,48360,17/03/10 00:42:02
Germany,11306,17/03/10 02:42:02
UK,4993,17/03/10 01:42:02
USA,22666,17/03/09 17:42:02
Total Players,48450,17/03/10 00:44:01
Germany,11294,17/03/10 02:44:01
UK,5020,17/03/10 01:44:01
USA,22589,17/03/09 17:44:01
Total Players,48328,17/03/10 00:46:01
Germany,11293,17/03/10 02:46:01
UK,4947,17/03/10 01:46:01
USA,22518,17/03/09 17:46:01
Total Players,48207,17/03/10 00:48:02
Germany,11257,17/03/10 02:48:02
UK,4888,17/03/10 01:48:02
USA,22554,17/03/09 17:48:02
Total Players,48252,17/03/10 00:50:01
Germany,11226,17/03/10 02:50:01
UK,4890,17/03/10 01:50:01
USA,22633,17/03/09 17:50:01
Total Players,48284,17/03/10 00:52:01
Germany,11238,17/03/10 02:52:01
UK,4914,17/03/10 01:52:01
USA,22634,17/03/09 17:52:01
Total Players,48294,17/03/10 00:54:01
Germany,11211,17/03/10 02:54:01
UK,4885,17/03/10 01:54:01
USA,23530,17/03/09 17:54:01
Total Players,48333,17/03/10 00:56:01
Germany,11199,17/03/10 02:56:01
UK,4921,17/03/10 01:56:01
USA,23595,17/03/09 17:56:01
Total Players,48401,17/03/10 00:58:01
Germany,11249,17/03/10 02:58:01
UK,4914,17/03/10 01:58:01
USA,22821,17/03/09 17:58:01
Total Players,48303,17/03/10 01:00:01
Germany,11160,17/03/10 03:00:01
UK,4929,17/03/10 02:00:01
USA,22829,17/03/09 18:00:01
Total Players,48398,17/03/10 01:02:01
Germany,11185,17/03/10 03:02:01
UK,4924,17/03/10 02:02:01
USA,23760,17/03/09 18:02:01
Total Players,48447,17/03/10 01:04:01
Germany,11210,17/03/10 03:04:01
UK,4899,17/03/10 02:04:01
USA,22927,17/03/09 18:04:01
Total Players,48066,17/03/10 01:06:01
Germany,11078,17/03/10 03:06:01
UK,4878,17/03/10 02:06:01
USA,23612,17/03/09 18:06:01
Total Players,48386,17/03/10 01:08:01
Germany,11243,17/03/10 03:08:01
UK,4857,17/03/10 02:08:01
USA,23812,17/03/09 18:08:01
Total Players,48316,17/03/10 01:10:01
Germany,11238,17/03/10 03:10:01
UK,4862,17/03/10 02:10:01
USA,22968,17/03/09 18:10:01
Total Players,48311,17/03/10 01:12:01
Germany,11181,17/03/10 03:12:01
UK,4873,17/03/10 02:12:01
USA,23002,17/03/09 18:12:01
Total Players,48305,17/03/10 01:14:01
Germany,11210,17/03/10 03:14:01
UK,4821,17/03/10 02:14:01
USA,23012,17/03/09 18:14:01
Total Players,48306,17/03/10 01:16:01
Germany,11181,17/03/10 03:16:01
UK,4827,17/03/10 02:16:01
USA,22992,17/03/09 18:16:01
Total Players,48352,17/03/10 01:18:01
Germany,11196,17/03/10 03:18:01
UK,4827,17/03/10 02:18:01
USA,23058,17/03/09 18:18:01
Total Players,47881,17/03/10 01:20:01
Germany,11117,17/03/10 03:20:01
UK,4790,17/03/10 02:20:01
USA,22824,17/03/09 18:20:01
Total Players,48055,17/03/10 01:22:01
Germany,11172,17/03/10 03:22:01
UK,4798,17/03/10 02:22:01
USA,22947,17/03/09 18:22:01
Total Players,48303,17/03/10 01:24:01
Germany,11218,17/03/10 03:24:01
UK,4811,17/03/10 02:24:01
USA,23061,17/03/09 18:24:01
Total Players,48433,17/03/10 01:26:01
Germany,11298,17/03/10 03:26:01
UK,4862,17/03/10 02:26:01
USA,23037,17/03/09 18:26:01
Total Players,48417,17/03/10 01:28:01
Germany,11273,17/03/10 03:28:01
UK,4912,17/03/10 02:28:01
USA,23094,17/03/09 18:28:01
Total Players,48474,17/03/10 01:30:01
Germany,11268,17/03/10 03:30:01
UK,4909,17/03/10 02:30:01
USA,23083,17/03/09 18:30:01
Total Players,48513,17/03/10 01:32:01
Germany,11255,17/03/10 03:32:01
UK,4882,17/03/10 02:32:01
USA,23187,17/03/09 18:32:01
Total Players,48506,17/03/10 01:34:01
Germany,11205,17/03/10 03:34:01
UK,4916,17/03/10 02:34:01
USA,23188,17/03/09 18:34:01
Total Players,48489,17/03/10 01:36:01
Germany,11249,17/03/10 03:36:01
UK,4928,17/03/10 02:36:01
USA,23134,17/03/09 18:36:01
Total Players,48482,17/03/10 01:38:01
Germany,11243,17/03/10 03:38:01
UK,4900,17/03/10 02:38:01
USA,23206,17/03/09 18:38:01
Total Players,48325,17/03/10 01:40:02
Germany,11176,17/03/10 03:40:02
UK,4909,17/03/10 02:40:02
USA,23917,17/03/09 18:40:02
Total Players,48434,17/03/10 01:42:01
Germany,11154,17/03/10 03:42:01
UK,4910,17/03/10 02:42:01
USA,23279,17/03/09 18:42:01
Total Players,48438,17/03/10 01:44:01
Germany,11112,17/03/10 03:44:01
UK,4894,17/03/10 02:44:01
USA,23321,17/03/09 18:44:01
Total Players,48476,17/03/10 01:46:01
Germany,11121,17/03/10 03:46:01
UK,4878,17/03/10 02:46:01
USA,23342,17/03/09 18:46:01
Total Players,48115,17/03/10 01:48:01
Germany,11033,17/03/10 03:48:01
UK,4811,17/03/10 02:48:01
USA,24039,17/03/09 18:48:01
Total Players,48225,17/03/10 01:50:01
Germany,11026,17/03/10 03:50:01
UK,4857,17/03/10 02:50:01
USA,24082,17/03/09 18:50:01
Total Players,48393,17/03/10 01:52:01
Germany,11097,17/03/10 03:52:01
UK,4889,17/03/10 02:52:01
USA,24139,17/03/09 18:52:01
Total Players,48462,17/03/10 01:54:01
Germany,11130,17/03/10 03:54:01
UK,4888,17/03/10 02:54:01
USA,24180,17/03/09 18:54:01
Total Players,48480,17/03/10 01:56:01
Germany,11120,17/03/10 03:56:01
UK,4894,17/03/10 02:56:01
USA,24173,17/03/09 18:56:01
Total Players,48550,17/03/10 01:58:01
Germany,11137,17/03/10 03:58:01
UK,4881,17/03/10 02:58:01
USA,24239,17/03/09 18:58:01
Total Players,48405,17/03/10 02:00:01
Germany,11102,17/03/10 04:00:01
UK,4884,17/03/10 03:00:01
USA,23372,17/03/09 19:00:01
Total Players,48479,17/03/10 02:02:01
Germany,11068,17/03/10 04:02:01
UK,4896,17/03/10 03:02:01
USA,23425,17/03/09 19:02:01
Total Players,48365,17/03/10 02:04:01
Germany,11059,17/03/10 04:04:01
UK,4862,17/03/10 03:04:01
USA,23417,17/03/09 19:04:01
Total Players,48257,17/03/10 02:06:01
Germany,10963,17/03/10 04:06:01
UK,4824,17/03/10 03:06:01
USA,23398,17/03/09 19:06:01
Total Players,48172,17/03/10 02:08:01
Germany,11001,17/03/10 04:08:01
UK,4808,17/03/10 03:08:01
USA,23350,17/03/09 19:08:01
Total Players,48127,17/03/10 02:10:01
Germany,11015,17/03/10 04:10:01
UK,4782,17/03/10 03:10:01
USA,23381,17/03/09 19:10:01
Total Players,48245,17/03/10 02:12:01
Germany,11008,17/03/10 04:12:01
UK,4771,17/03/10 03:12:01
USA,23421,17/03/09 19:12:01
Total Players,48365,17/03/10 02:14:01
Germany,11049,17/03/10 04:14:01
UK,4809,17/03/10 03:14:01
USA,23519,17/03/09 19:14:01
Total Players,48448,17/03/10 02:16:01
Germany,11002,17/03/10 04:16:01
UK,4823,17/03/10 03:16:01
USA,23604,17/03/09 19:16:01
Total Players,48257,17/03/10 02:18:01
Germany,10979,17/03/10 04:18:01
UK,4807,17/03/10 03:18:01
USA,24284,17/03/09 19:18:01
Total Players,47749,17/03/10 02:20:01
Germany,10829,17/03/10 04:20:01
UK,4739,17/03/10 03:20:01
USA,24151,17/03/09 19:20:01
Total Players,47660,17/03/10 02:22:01
Germany,10781,17/03/10 04:22:01
UK,4707,17/03/10 03:22:01
USA,24122,17/03/09 19:22:01
Total Players,47732,17/03/10 02:24:01
Germany,10831,17/03/10 04:24:01
UK,4729,17/03/10 03:24:01
USA,23328,17/03/09 19:24:01
Total Players,47970,17/03/10 02:26:01
Germany,10906,17/03/10 04:26:01
UK,4772,17/03/10 03:26:01
USA,23375,17/03/09 19:26:01
Total Players,48088,17/03/10 02:28:01
Germany,10951,17/03/10 04:28:01
UK,4800,17/03/10 03:28:01
USA,23434,17/03/09 19:28:01
Total Players,48113,17/03/10 02:30:01
Germany,10942,17/03/10 04:30:01
UK,4812,17/03/10 03:30:01
USA,23437,17/03/09 19:30:01
Total Players,48160,17/03/10 02:32:01
Germany,10986,17/03/10 04:32:01
UK,4805,17/03/10 03:32:01
USA,23476,17/03/09 19:32:01
Total Players,48139,17/03/10 02:34:01
Germany,11023,17/03/10 04:34:01
UK,4787,17/03/10 03:34:01
USA,23425,17/03/09 19:34:01
Total Players,48117,17/03/10 02:36:01
Germany,10969,17/03/10 04:36:01
UK,4811,17/03/10 03:36:01
USA,24252,17/03/09 19:36:01
Total Players,47891,17/03/10 02:38:01
Germany,10860,17/03/10 04:38:01
UK,4814,17/03/10 03:38:01
USA,23363,17/03/09 19:38:01
Total Players,47829,17/03/10 02:40:01
Germany,10840,17/03/10 04:40:01
UK,4830,17/03/10 03:40:01
USA,23282,17/03/09 19:40:01
Total Players,47922,17/03/10 02:42:01
Germany,10891,17/03/10 04:42:01
UK,4806,17/03/10 03:42:01
USA,24188,17/03/09 19:42:01
Total Players,47896,17/03/10 02:44:01
Germany,10943,17/03/10 04:44:01
UK,4809,17/03/10 03:44:01
USA,23226,17/03/09 19:44:01
Total Players,47785,17/03/10 02:46:01
Germany,10999,17/03/10 04:46:01
UK,4740,17/03/10 03:46:01
USA,23183,17/03/09 19:46:01
Total Players,47416,17/03/10 02:48:01
Germany,10830,17/03/10 04:48:01
UK,4732,17/03/10 03:48:01
USA,23011,17/03/09 19:48:01
Total Players,47425,17/03/10 02:50:01
Germany,10886,17/03/10 04:50:01
UK,4723,17/03/10 03:50:01
USA,22965,17/03/09 19:50:01
Total Players,47527,17/03/10 02:52:01
Germany,10903,17/03/10 04:52:01
UK,4701,17/03/10 03:52:01
USA,23051,17/03/09 19:52:01
Total Players,47501,17/03/10 02:54:01
