Total Players,34162,16/09/14 00:00:01
Germany,8886,16/09/14 02:00:01
UK,11784,16/09/14 01:00:01
USA,13492,16/09/13 17:00:01
Total Players,34158,16/09/14 00:02:01
Germany,8850,16/09/14 02:02:01
UK,11790,16/09/14 01:02:01
USA,13515,16/09/13 17:02:01
Total Players,34310,16/09/14 00:04:01
Germany,8943,16/09/14 02:04:01
UK,11830,16/09/14 01:04:01
USA,13531,16/09/13 17:04:01
Total Players,34341,16/09/14 00:06:01
Germany,9000,16/09/14 02:06:01
UK,11763,16/09/14 01:06:01
USA,13578,16/09/13 17:06:01
Total Players,34343,16/09/14 00:08:01
Germany,8945,16/09/14 02:08:01
UK,11799,16/09/14 01:08:01
USA,13599,16/09/13 17:08:01
Total Players,34339,16/09/14 00:10:01
Germany,8970,16/09/14 02:10:01
UK,11799,16/09/14 01:10:01
USA,13570,16/09/13 17:10:01
Total Players,34295,16/09/14 00:12:01
Germany,8973,16/09/14 02:12:01
UK,11733,16/09/14 01:12:01
USA,13589,16/09/13 17:12:01
Total Players,34334,16/09/14 00:14:01
Germany,8991,16/09/14 02:14:01
UK,11740,16/09/14 01:14:01
USA,13603,16/09/13 17:14:01
Total Players,34297,16/09/14 00:16:01
Germany,8996,16/09/14 02:16:01
UK,11668,16/09/14 01:16:01
USA,13638,16/09/13 17:16:01
Total Players,34270,16/09/14 00:18:01
Germany,8958,16/09/14 02:18:01
UK,11671,16/09/14 01:18:01
USA,13641,16/09/13 17:18:01
Total Players,34202,16/09/14 00:20:01
Germany,8945,16/09/14 02:20:01
UK,11645,16/09/14 01:20:01
USA,13612,16/09/13 17:20:01
Total Players,34218,16/09/14 00:22:01
Germany,8935,16/09/14 02:22:01
UK,11626,16/09/14 01:22:01
USA,13657,16/09/13 17:22:01
Total Players,34172,16/09/14 00:24:01
Germany,8929,16/09/14 02:24:01
UK,11641,16/09/14 01:24:01
USA,13602,16/09/13 17:24:01
Total Players,34264,16/09/14 00:26:01
Germany,9013,16/09/14 02:26:01
UK,11632,16/09/14 01:26:01
USA,13619,16/09/13 17:26:01
Total Players,34238,16/09/14 00:28:01
Germany,8964,16/09/14 02:28:01
UK,11665,16/09/14 01:28:01
USA,13612,16/09/13 17:28:01
Total Players,34211,16/09/14 00:30:01
Germany,8926,16/09/14 02:30:01
UK,11685,16/09/14 01:30:01
USA,13600,16/09/13 17:30:01
Total Players,34108,16/09/14 00:32:01
Germany,8828,16/09/14 02:32:01
UK,11690,16/09/14 01:32:01
USA,13590,16/09/13 17:32:01
Total Players,34179,16/09/14 00:34:01
Germany,8858,16/09/14 02:34:01
UK,11664,16/09/14 01:34:01
USA,13657,16/09/13 17:34:01
Total Players,34373,16/09/14 00:36:01
Germany,8928,16/09/14 02:36:01
UK,11694,16/09/14 01:36:01
USA,13751,16/09/13 17:36:01
Total Players,34551,16/09/14 00:38:01
Germany,8996,16/09/14 02:38:01
UK,11788,16/09/14 01:38:01
USA,13767,16/09/13 17:38:01
Total Players,34546,16/09/14 00:40:01
Germany,8975,16/09/14 02:40:01
UK,11819,16/09/14 01:40:01
USA,13752,16/09/13 17:40:01
