Total Players,54665,16/12/18 00:00:01
Germany,16807,16/12/18 02:00:01
UK,17889,16/12/18 01:00:01
USA,19115,16/12/17 17:00:01
Total Players,54399,16/12/18 00:02:01
Germany,16722,16/12/18 02:02:01
UK,17789,16/12/18 01:02:01
USA,19888,16/12/17 17:02:01
Total Players,54473,16/12/18 00:04:01
Germany,16716,16/12/18 02:04:01
UK,17762,16/12/18 01:04:01
USA,19995,16/12/17 17:04:01
Total Players,54360,16/12/18 00:06:01
Germany,16675,16/12/18 02:06:01
UK,17688,16/12/18 01:06:01
USA,19140,16/12/17 17:06:01
Total Players,54313,16/12/18 00:08:01
Germany,16668,16/12/18 02:08:01
UK,17736,16/12/18 01:08:01
USA,19909,16/12/17 17:08:01
Total Players,54182,16/12/18 00:10:01
Germany,16628,16/12/18 02:10:01
UK,17680,16/12/18 01:10:01
USA,18995,16/12/17 17:10:01
Total Players,54246,16/12/18 00:12:01
Germany,16684,16/12/18 02:12:01
UK,17650,16/12/18 01:12:01
USA,19033,16/12/17 17:12:01
Total Players,54162,16/12/18 00:14:01
Germany,16636,16/12/18 02:14:01
UK,17577,16/12/18 01:14:01
USA,19093,16/12/17 17:14:01
Total Players,54154,16/12/18 00:16:01
Germany,16601,16/12/18 02:16:01
UK,17544,16/12/18 01:16:01
USA,19150,16/12/17 17:16:01
Total Players,54144,16/12/18 00:18:01
Germany,16604,16/12/18 02:18:01
UK,17488,16/12/18 01:18:01
USA,19181,16/12/17 17:18:01
Total Players,54047,16/12/18 00:20:01
Germany,16577,16/12/18 02:20:01
UK,17451,16/12/18 01:20:01
USA,19165,16/12/17 17:20:01
Total Players,53787,16/12/18 00:22:01
Germany,16438,16/12/18 02:22:01
UK,17348,16/12/18 01:22:01
USA,20001,16/12/17 17:22:01
Total Players,53626,16/12/18 00:24:01
Germany,16345,16/12/18 02:24:01
UK,17280,16/12/18 01:24:01
USA,19138,16/12/17 17:24:01
Total Players,53469,16/12/18 00:26:01
Germany,16246,16/12/18 02:26:01
UK,17172,16/12/18 01:26:01
USA,19179,16/12/17 17:26:01
Total Players,53420,16/12/18 00:28:01
Germany,16235,16/12/18 02:28:01
UK,17169,16/12/18 01:28:01
USA,19134,16/12/17 17:28:01
Total Players,53435,16/12/18 00:30:01
Germany,16194,16/12/18 02:30:01
UK,17232,16/12/18 01:30:01
USA,20009,16/12/17 17:30:01
Total Players,53269,16/12/18 00:32:01
Germany,16181,16/12/18 02:32:01
UK,17107,16/12/18 01:32:01
USA,19981,16/12/17 17:32:01
Total Players,53240,16/12/18 00:34:01
Germany,16184,16/12/18 02:34:01
UK,17102,16/12/18 01:34:01
USA,19954,16/12/17 17:34:01
Total Players,53280,16/12/18 00:36:01
Germany,16206,16/12/18 02:36:01
UK,17085,16/12/18 01:36:01
USA,19989,16/12/17 17:36:01
Total Players,53190,16/12/18 00:38:01
Germany,16140,16/12/18 02:38:01
UK,17035,16/12/18 01:38:01
USA,20015,16/12/17 17:38:01
Total Players,53266,16/12/18 00:40:01
Germany,16186,16/12/18 02:40:01
UK,17050,16/12/18 01:40:01
USA,20030,16/12/17 17:40:01
Total Players,53236,16/12/18 00:42:01
Germany,16152,16/12/18 02:42:01
UK,17012,16/12/18 01:42:01
USA,20072,16/12/17 17:42:01
Total Players,52829,16/12/18 00:44:01
Germany,15990,16/12/18 02:44:01
UK,16979,16/12/18 01:44:01
USA,19860,16/12/17 17:44:01
Total Players,52828,16/12/18 00:46:01
Germany,15963,16/12/18 02:46:01
UK,16990,16/12/18 01:46:01
USA,19875,16/12/17 17:46:01
