Total Players,38181,16/10/18 00:00:01
Germany,10701,16/10/18 02:00:01
UK,12188,16/10/18 01:00:01
USA,15289,16/10/17 17:00:01
Total Players,38307,16/10/18 00:02:01
Germany,10745,16/10/18 02:02:01
UK,12272,16/10/18 01:02:01
USA,15290,16/10/17 17:02:01
Total Players,38239,16/10/18 00:04:01
Germany,10762,16/10/18 02:04:01
UK,12244,16/10/18 01:04:01
USA,15233,16/10/17 17:04:01
Total Players,38068,16/10/18 00:06:01
Germany,10675,16/10/18 02:06:01
UK,12126,16/10/18 01:06:01
USA,15267,16/10/17 17:06:01
Total Players,38023,16/10/18 00:08:01
Germany,10671,16/10/18 02:08:01
UK,12099,16/10/18 01:08:01
USA,15253,16/10/17 17:08:01
Total Players,38005,16/10/18 00:10:01
Germany,10668,16/10/18 02:10:01
UK,12110,16/10/18 01:10:01
USA,15227,16/10/17 17:10:01
Total Players,37973,16/10/18 00:12:01
Germany,10593,16/10/18 02:12:01
UK,12152,16/10/18 01:12:01
USA,15228,16/10/17 17:12:01
Total Players,37804,16/10/18 00:14:01
Germany,10562,16/10/18 02:14:01
UK,12096,16/10/18 01:14:01
USA,15146,16/10/17 17:14:01
Total Players,37959,16/10/18 00:16:01
Germany,10584,16/10/18 02:16:01
UK,12186,16/10/18 01:16:01
USA,15189,16/10/17 17:16:01
Total Players,38078,16/10/18 00:18:01
Germany,10605,16/10/18 02:18:01
UK,12311,16/10/18 01:18:01
USA,15162,16/10/17 17:18:01
Total Players,38018,16/10/18 00:20:01
Germany,10516,16/10/18 02:20:01
UK,12302,16/10/18 01:20:01
USA,15200,16/10/17 17:20:01
Total Players,38151,16/10/18 00:22:01
Germany,10472,16/10/18 02:22:01
UK,12365,16/10/18 01:22:01
USA,15314,16/10/17 17:22:01
Total Players,38244,16/10/18 00:24:01
Germany,10469,16/10/18 02:24:01
UK,12402,16/10/18 01:24:01
USA,15373,16/10/17 17:24:01
Total Players,38258,16/10/18 00:26:01
Germany,10513,16/10/18 02:26:01
UK,12378,16/10/18 01:26:01
USA,15367,16/10/17 17:26:01
Total Players,38247,16/10/18 00:28:01
Germany,10494,16/10/18 02:28:01
UK,12387,16/10/18 01:28:01
USA,15366,16/10/17 17:28:01
Total Players,38280,16/10/18 00:30:01
Germany,10469,16/10/18 02:30:01
UK,12372,16/10/18 01:30:01
USA,15439,16/10/17 17:30:01
Total Players,38304,16/10/18 00:32:01
Germany,10535,16/10/18 02:32:01
UK,12397,16/10/18 01:32:01
USA,15372,16/10/17 17:32:01
Total Players,38366,16/10/18 00:34:01
Germany,10530,16/10/18 02:34:01
UK,12343,16/10/18 01:34:01
USA,15493,16/10/17 17:34:01
Total Players,38434,16/10/18 00:36:01
Germany,10586,16/10/18 02:36:01
UK,12309,16/10/18 01:36:01
USA,15536,16/10/17 17:36:01
Total Players,38493,16/10/18 00:38:02
Germany,10619,16/10/18 02:38:02
UK,12364,16/10/18 01:38:02
USA,15514,16/10/17 17:38:02
Total Players,38505,16/10/18 00:40:01
Germany,10616,16/10/18 02:40:01
UK,12394,16/10/18 01:40:01
USA,15495,16/10/17 17:40:01
Total Players,38347,16/10/18 00:42:01
Germany,10576,16/10/18 02:42:01
UK,12311,16/10/18 01:42:01
USA,15460,16/10/17 17:42:01
Total Players,38300,16/10/18 00:44:01
Germany,10539,16/10/18 02:44:01
UK,12249,16/10/18 01:44:01
USA,15514,16/10/17 17:44:01
Total Players,38230,16/10/18 00:46:01
Germany,10530,16/10/18 02:46:01
UK,12259,16/10/18 01:46:01
USA,15441,16/10/17 17:46:01
Total Players,38279,16/10/18 00:48:01
Germany,10543,16/10/18 02:48:01
UK,12206,16/10/18 01:48:01
USA,15530,16/10/17 17:48:01
Total Players,38466,16/10/18 00:50:01
Germany,10627,16/10/18 02:50:01
UK,12237,16/10/18 01:50:01
USA,15596,16/10/17 17:50:01
Total Players,38323,16/10/18 00:52:01
Germany,10605,16/10/18 02:52:01
UK,12202,16/10/18 01:52:01
USA,15516,16/10/17 17:52:01
Total Players,38258,16/10/18 00:54:01
Germany,10582,16/10/18 02:54:01
UK,12185,16/10/18 01:54:01
USA,15491,16/10/17 17:54:01
Total Players,38227,16/10/18 00:56:01
Germany,10585,16/10/18 02:56:01
UK,12233,16/10/18 01:56:01
USA,15409,16/10/17 17:56:01
Total Players,38236,16/10/18 00:58:02
Germany,10559,16/10/18 02:58:02
UK,12225,16/10/18 01:58:02
USA,15452,16/10/17 17:58:02
Total Players,38262,16/10/18 01:00:01
Germany,10569,16/10/18 03:00:01
UK,12224,16/10/18 02:00:01
USA,15469,16/10/17 18:00:01
Total Players,38357,16/10/18 01:02:01
Germany,10649,16/10/18 03:02:01
UK,12238,16/10/18 02:02:01
USA,15471,16/10/17 18:02:01
Total Players,38343,16/10/18 01:04:01
Germany,10595,16/10/18 03:04:01
UK,12219,16/10/18 02:04:01
USA,15529,16/10/17 18:04:01
Total Players,38350,16/10/18 01:06:01
Germany,10580,16/10/18 03:06:01
UK,12259,16/10/18 02:06:01
USA,15511,16/10/17 18:06:01
Total Players,38395,16/10/18 01:08:01
Germany,10601,16/10/18 03:08:01
UK,12274,16/10/18 02:08:01
USA,15526,16/10/17 18:08:01
Total Players,38413,16/10/18 01:10:01
Germany,10632,16/10/18 03:10:01
UK,12275,16/10/18 02:10:01
USA,15506,16/10/17 18:10:01
Total Players,38351,16/10/18 01:12:01
Germany,10606,16/10/18 03:12:01
UK,12293,16/10/18 02:12:01
USA,15452,16/10/17 18:12:01
Total Players,38391,16/10/18 01:14:01
Germany,10603,16/10/18 03:14:01
UK,12311,16/10/18 02:14:01
USA,15477,16/10/17 18:14:01
Total Players,38452,16/10/18 01:16:01
Germany,10625,16/10/18 03:16:01
UK,12265,16/10/18 02:16:01
USA,15562,16/10/17 18:16:01
Total Players,38418,16/10/18 01:18:01
Germany,10585,16/10/18 03:18:01
UK,12202,16/10/18 02:18:01
USA,15634,16/10/17 18:18:01
