Total Players,34007,16/09/13 00:00:01
Germany,8593,16/09/13 02:00:01
UK,11710,16/09/13 01:00:01
USA,13704,16/09/12 17:00:01
Total Players,34162,16/09/13 00:02:01
Germany,8657,16/09/13 02:02:01
UK,11762,16/09/13 01:02:01
USA,13743,16/09/12 17:02:01
Total Players,34178,16/09/13 00:04:01
Germany,8706,16/09/13 02:04:01
UK,11669,16/09/13 01:04:01
USA,13803,16/09/12 17:04:01
Total Players,34269,16/09/13 00:06:01
Germany,8705,16/09/13 02:06:01
UK,11696,16/09/13 01:06:01
USA,13868,16/09/12 17:06:01
Total Players,34404,16/09/13 00:08:01
Germany,8751,16/09/13 02:08:01
UK,11777,16/09/13 01:08:01
USA,13879,16/09/12 17:08:01
Total Players,34414,16/09/13 00:10:01
Germany,8782,16/09/13 02:10:01
UK,11768,16/09/13 01:10:01
USA,13864,16/09/12 17:10:01
Total Players,34517,16/09/13 00:12:01
Germany,8871,16/09/13 02:12:01
UK,11782,16/09/13 01:12:01
USA,13865,16/09/12 17:12:01
Total Players,34577,16/09/13 00:14:01
Germany,8862,16/09/13 02:14:01
UK,11794,16/09/13 01:14:01
USA,13921,16/09/12 17:14:01
Total Players,34596,16/09/13 00:16:01
Germany,8811,16/09/13 02:16:01
UK,11825,16/09/13 01:16:01
USA,13960,16/09/12 17:16:01
Total Players,34518,16/09/13 00:18:02
Germany,8828,16/09/13 02:18:02
UK,11811,16/09/13 01:18:02
USA,13879,16/09/12 17:18:02
Total Players,34498,16/09/13 00:20:01
Germany,8792,16/09/13 02:20:01
UK,11782,16/09/13 01:20:01
USA,13924,16/09/12 17:20:01
Total Players,34563,16/09/13 00:22:01
Germany,8868,16/09/13 02:22:01
UK,11787,16/09/13 01:22:01
USA,13908,16/09/12 17:22:01
Total Players,34687,16/09/13 00:24:01
Germany,8852,16/09/13 02:24:01
UK,11868,16/09/13 01:24:01
USA,13970,16/09/12 17:24:01
Total Players,34578,16/09/13 00:26:01
Germany,8802,16/09/13 02:26:01
UK,11822,16/09/13 01:26:01
USA,13954,16/09/12 17:26:01
Total Players,34518,16/09/13 00:28:01
Germany,8799,16/09/13 02:28:01
UK,11795,16/09/13 01:28:01
USA,13924,16/09/12 17:28:01
Total Players,34476,16/09/13 00:30:01
Germany,8835,16/09/13 02:30:01
UK,11800,16/09/13 01:30:01
USA,13841,16/09/12 17:30:01
Total Players,34327,16/09/13 00:32:01
Germany,8744,16/09/13 02:32:01
UK,11777,16/09/13 01:32:01
USA,13804,16/09/12 17:32:01
Total Players,34408,16/09/13 00:34:01
Germany,8788,16/09/13 02:34:01
UK,11723,16/09/13 01:34:01
USA,13897,16/09/12 17:34:01
Total Players,34696,16/09/13 00:36:01
Germany,8851,16/09/13 02:36:01
UK,11843,16/09/13 01:36:01
USA,14002,16/09/12 17:36:01
Total Players,34729,16/09/13 00:38:01
Germany,8869,16/09/13 02:38:01
UK,11823,16/09/13 01:38:01
USA,14037,16/09/12 17:38:01
Total Players,34766,16/09/13 00:40:01
Germany,8877,16/09/13 02:40:01
UK,11906,16/09/13 01:40:01
USA,13983,16/09/12 17:40:01
Total Players,34877,16/09/13 00:42:01
Germany,8939,16/09/13 02:42:01
UK,11858,16/09/13 01:42:01
USA,14080,16/09/12 17:42:01
Total Players,34833,16/09/13 00:44:02
Germany,8909,16/09/13 02:44:02
UK,11803,16/09/13 01:44:02
USA,14121,16/09/12 17:44:02
Total Players,34896,16/09/13 00:46:01
Germany,8929,16/09/13 02:46:01
UK,11828,16/09/13 01:46:01
USA,14139,16/09/12 17:46:01
Total Players,34904,16/09/13 00:48:01
Germany,8979,16/09/13 02:48:01
UK,11753,16/09/13 01:48:01
USA,14172,16/09/12 17:48:01
Total Players,34978,16/09/13 00:50:01
Germany,8997,16/09/13 02:50:01
UK,11752,16/09/13 01:50:01
USA,14229,16/09/12 17:50:01
Total Players,35009,16/09/13 00:52:01
