Total Players,51761,16/12/20 00:00:01
Germany,14915,16/12/20 02:00:01
UK,17519,16/12/20 01:00:01
USA,19327,16/12/19 17:00:01
Total Players,51626,16/12/20 00:02:01
Germany,14885,16/12/20 02:02:01
UK,17387,16/12/20 01:02:01
USA,19354,16/12/19 17:02:01
Total Players,51472,16/12/20 00:04:01
Germany,14812,16/12/20 02:04:01
UK,17339,16/12/20 01:04:01
USA,19327,16/12/19 17:04:01
Total Players,51500,16/12/20 00:06:01
Germany,14733,16/12/20 02:06:01
UK,17330,16/12/20 01:06:01
USA,19437,16/12/19 17:06:01
Total Players,51017,16/12/20 00:08:01
Germany,14614,16/12/20 02:08:01
UK,17095,16/12/20 01:08:01
USA,19308,16/12/19 17:08:01
Total Players,51099,16/12/20 00:10:01
Germany,14676,16/12/20 02:10:01
UK,17089,16/12/20 01:10:01
USA,19334,16/12/19 17:10:01
Total Players,51076,16/12/20 00:12:01
Germany,14677,16/12/20 02:12:01
UK,17094,16/12/20 01:12:01
USA,19305,16/12/19 17:12:01
Total Players,51038,16/12/20 00:14:01
Germany,14604,16/12/20 02:14:01
UK,17023,16/12/20 01:14:01
USA,19411,16/12/19 17:14:01
Total Players,51019,16/12/20 00:16:01
Germany,14586,16/12/20 02:16:01
UK,17004,16/12/20 01:16:01
USA,19429,16/12/19 17:16:01
Total Players,50985,16/12/20 00:18:01
Germany,14563,16/12/20 02:18:01
UK,16946,16/12/20 01:18:01
USA,19476,16/12/19 17:18:01
Total Players,50895,16/12/20 00:20:01
Germany,14565,16/12/20 02:20:01
UK,16925,16/12/20 01:20:01
USA,19405,16/12/19 17:20:01
Total Players,50758,16/12/20 00:22:01
Germany,14569,16/12/20 02:22:01
UK,16852,16/12/20 01:22:01
USA,19337,16/12/19 17:22:01
Total Players,50847,16/12/20 00:24:01
Germany,14609,16/12/20 02:24:01
UK,16841,16/12/20 01:24:01
USA,19397,16/12/19 17:24:01
Total Players,50812,16/12/20 00:26:01
Germany,14551,16/12/20 02:26:01
UK,16822,16/12/20 01:26:01
USA,19439,16/12/19 17:26:01
Total Players,50652,16/12/20 00:28:01
Germany,14521,16/12/20 02:28:01
UK,16722,16/12/20 01:28:01
USA,19409,16/12/19 17:28:01
Total Players,50771,16/12/20 00:30:01
Germany,14585,16/12/20 02:30:01
UK,16729,16/12/20 01:30:01
USA,19457,16/12/19 17:30:01
Total Players,50853,16/12/20 00:32:01
Germany,14552,16/12/20 02:32:01
UK,16748,16/12/20 01:32:01
USA,19553,16/12/19 17:32:01
Total Players,50956,16/12/20 00:34:01
Germany,14614,16/12/20 02:34:01
UK,16781,16/12/20 01:34:01
USA,19561,16/12/19 17:34:01
Total Players,51057,16/12/20 00:36:01
Germany,14619,16/12/20 02:36:01
UK,16779,16/12/20 01:36:01
USA,18699,16/12/19 17:36:01
Total Players,51110,16/12/20 00:38:01
Germany,14590,16/12/20 02:38:01
UK,16821,16/12/20 01:38:01
USA,19691,16/12/19 17:38:01
Total Players,51190,16/12/20 00:40:01
Germany,14610,16/12/20 02:40:01
UK,16865,16/12/20 01:40:01
USA,19715,16/12/19 17:40:01
Total Players,51296,16/12/20 00:42:01
Germany,14670,16/12/20 02:42:01
UK,16831,16/12/20 01:42:01
USA,19795,16/12/19 17:42:01
Total Players,51204,16/12/20 00:44:01
Germany,14627,16/12/20 02:44:01
UK,16813,16/12/20 01:44:01
USA,18794,16/12/19 17:44:01
Total Players,51213,16/12/20 00:46:01
Germany,14621,16/12/20 02:46:01
UK,16826,16/12/20 01:46:01
USA,18809,16/12/19 17:46:01
Total Players,51296,16/12/20 00:48:01
Germany,14625,16/12/20 02:48:01
UK,16840,16/12/20 01:48:01
USA,18877,16/12/19 17:48:01
Total Players,51237,16/12/20 00:50:01
Germany,14621,16/12/20 02:50:01
UK,16800,16/12/20 01:50:01
USA,18866,16/12/19 17:50:01
Total Players,51139,16/12/20 00:52:01
Germany,14536,16/12/20 02:52:01
UK,16753,16/12/20 01:52:01
USA,18911,16/12/19 17:52:01
Total Players,51114,16/12/20 00:54:01
Germany,14495,16/12/20 02:54:01
UK,16787,16/12/20 01:54:01
USA,18885,16/12/19 17:54:01
Total Players,50616,16/12/20 00:56:01
Germany,14364,16/12/20 02:56:01
UK,16557,16/12/20 01:56:01
USA,18750,16/12/19 17:56:01
Total Players,50637,16/12/20 00:58:01
Germany,14416,16/12/20 02:58:01
UK,16522,16/12/20 01:58:01
USA,18781,16/12/19 17:58:01
Total Players,50634,16/12/20 01:00:01
Germany,14374,16/12/20 03:00:01
UK,16492,16/12/20 02:00:01
USA,19767,16/12/19 18:00:01
Total Players,50591,16/12/20 01:02:01
Germany,14362,16/12/20 03:02:01
UK,16536,16/12/20 02:02:01
USA,19693,16/12/19 18:02:01
Total Players,50644,16/12/20 01:04:01
Germany,14367,16/12/20 03:04:01
UK,16543,16/12/20 02:04:01
USA,18814,16/12/19 18:04:01
Total Players,50692,16/12/20 01:06:01
Germany,14392,16/12/20 03:06:01
UK,16568,16/12/20 02:06:01
USA,19732,16/12/19 18:06:01
Total Players,50586,16/12/20 01:08:01
Germany,14346,16/12/20 03:08:01
UK,16570,16/12/20 02:08:01
USA,19670,16/12/19 18:08:01
Total Players,50561,16/12/20 01:10:01
Germany,14345,16/12/20 03:10:01
UK,16588,16/12/20 02:10:01
USA,19628,16/12/19 18:10:01
Total Players,50613,16/12/20 01:12:01
Germany,14375,16/12/20 03:12:01
UK,16548,16/12/20 02:12:01
USA,19690,16/12/19 18:12:01
Total Players,50489,16/12/20 01:14:01
Germany,14367,16/12/20 03:14:01
UK,16456,16/12/20 02:14:01
USA,19666,16/12/19 18:14:01
Total Players,50414,16/12/20 01:16:01
Germany,14342,16/12/20 03:16:01
UK,16412,16/12/20 02:16:01
USA,18723,16/12/19 18:16:01
Total Players,50420,16/12/20 01:18:01
Germany,14294,16/12/20 03:18:01
UK,16445,16/12/20 02:18:01
USA,18779,16/12/19 18:18:01
Total Players,50371,16/12/20 01:20:01
Germany,14277,16/12/20 03:20:01
UK,16405,16/12/20 02:20:01
USA,18775,16/12/19 18:20:01
Total Players,50419,16/12/20 01:22:01
Germany,14305,16/12/20 03:22:01
UK,16432,16/12/20 02:22:01
USA,18793,16/12/19 18:22:01
Total Players,50250,16/12/20 01:24:01
Germany,14261,16/12/20 03:24:01
UK,16323,16/12/20 02:24:01
USA,18777,16/12/19 18:24:01
Total Players,50195,16/12/20 01:26:01
Germany,14244,16/12/20 03:26:01
UK,16263,16/12/20 02:26:01
USA,18764,16/12/19 18:26:01
Total Players,50252,16/12/20 01:28:01
Germany,14240,16/12/20 03:28:01
UK,16296,16/12/20 02:28:01
USA,18816,16/12/19 18:28:01
Total Players,50294,16/12/20 01:30:01
Germany,14288,16/12/20 03:30:01
UK,16310,16/12/20 02:30:01
USA,18784,16/12/19 18:30:01
Total Players,50300,16/12/20 01:32:01
Germany,14287,16/12/20 03:32:01
UK,16333,16/12/20 02:32:01
USA,18769,16/12/19 18:32:01
Total Players,50231,16/12/20 01:34:01
Germany,14212,16/12/20 03:34:01
UK,16304,16/12/20 02:34:01
USA,18809,16/12/19 18:34:01
Total Players,50163,16/12/20 01:36:01
Germany,14268,16/12/20 03:36:01
UK,16234,16/12/20 02:36:01
USA,18768,16/12/19 18:36:01
Total Players,50262,16/12/20 01:38:01
Germany,14317,16/12/20 03:38:01
UK,16166,16/12/20 02:38:01
USA,18868,16/12/19 18:38:01
