Total Players,48670,17/04/21 00:00:01
Germany,10580,17/04/21 02:00:01
UK,3343,17/04/21 01:00:01
USA,24440,17/04/20 17:00:01
Total Players,48751,17/04/21 00:02:01
Germany,10613,17/04/21 02:02:01
UK,3373,17/04/21 01:02:01
USA,25266,17/04/20 17:02:01
Total Players,48784,17/04/21 00:04:01
Germany,10577,17/04/21 02:04:01
UK,3361,17/04/21 01:04:01
USA,24541,17/04/20 17:04:01
Total Players,48727,17/04/21 00:06:01
Germany,10558,17/04/21 02:06:01
UK,3376,17/04/21 01:06:01
USA,24524,17/04/20 17:06:01
Total Players,48843,17/04/21 00:08:01
Germany,10568,17/04/21 02:08:01
UK,3346,17/04/21 01:08:01
USA,24714,17/04/20 17:08:01
Total Players,48800,17/04/21 00:10:01
Germany,10558,17/04/21 02:10:01
UK,3361,17/04/21 01:10:01
USA,24704,17/04/20 17:10:01
Total Players,48826,17/04/21 00:12:01
Germany,10503,17/04/21 02:12:01
UK,3393,17/04/21 01:12:01
USA,24717,17/04/20 17:12:01
Total Players,48767,17/04/21 00:14:01
Germany,10546,17/04/21 02:14:01
UK,3354,17/04/21 01:14:01
USA,24650,17/04/20 17:14:01
Total Players,48780,17/04/21 00:16:01
Germany,10530,17/04/21 02:16:01
UK,3384,17/04/21 01:16:01
USA,24635,17/04/20 17:16:01
Total Players,48739,17/04/21 00:18:01
Germany,10537,17/04/21 02:18:01
UK,3381,17/04/21 01:18:01
USA,24628,17/04/20 17:18:01
Total Players,48923,17/04/21 00:20:01
Germany,10601,17/04/21 02:20:01
UK,3403,17/04/21 01:20:01
USA,24694,17/04/20 17:20:01
Total Players,49032,17/04/21 00:22:01
Germany,10619,17/04/21 02:22:01
UK,3430,17/04/21 01:22:01
USA,24757,17/04/20 17:22:01
Total Players,48988,17/04/21 00:24:01
Germany,10620,17/04/21 02:24:01
UK,3397,17/04/21 01:24:01
USA,24757,17/04/20 17:24:01
Total Players,48934,17/04/21 00:26:01
Germany,10565,17/04/21 02:26:01
UK,3396,17/04/21 01:26:01
USA,24827,17/04/20 17:26:01
Total Players,48893,17/04/21 00:28:01
Germany,10600,17/04/21 02:28:01
UK,3391,17/04/21 01:28:01
USA,24782,17/04/20 17:28:01
Total Players,49028,17/04/21 00:30:01
Germany,10630,17/04/21 02:30:01
UK,3413,17/04/21 01:30:01
USA,24864,17/04/20 17:30:01
Total Players,49004,17/04/21 00:32:01
Germany,10650,17/04/21 02:32:01
UK,3381,17/04/21 01:32:01
USA,24847,17/04/20 17:32:01
Total Players,48963,17/04/21 00:34:01
Germany,10637,17/04/21 02:34:01
UK,3405,17/04/21 01:34:01
USA,24857,17/04/20 17:34:01
Total Players,48929,17/04/21 00:36:01
Germany,10581,17/04/21 02:36:01
UK,3447,17/04/21 01:36:01
USA,24772,17/04/20 17:36:01
Total Players,48893,17/04/21 00:38:02
Germany,10547,17/04/21 02:38:02
UK,3450,17/04/21 01:38:02
USA,24735,17/04/20 17:38:02
Total Players,48803,17/04/21 00:40:01
Germany,10516,17/04/21 02:40:01
UK,3430,17/04/21 01:40:01
USA,24804,17/04/20 17:40:01
Total Players,48835,17/04/21 00:42:01
Germany,10526,17/04/21 02:42:01
UK,3479,17/04/21 01:42:01
USA,24796,17/04/20 17:42:01
Total Players,48706,17/04/21 00:44:01
Germany,10486,17/04/21 02:44:01
UK,3418,17/04/21 01:44:01
USA,24769,17/04/20 17:44:01
Total Players,48754,17/04/21 00:46:01
Germany,10516,17/04/21 02:46:01
UK,3450,17/04/21 01:46:01
USA,24759,17/04/20 17:46:01
Total Players,48858,17/04/21 00:48:01
Germany,10541,17/04/21 02:48:01
UK,3439,17/04/21 01:48:01
USA,24782,17/04/20 17:48:01
Total Players,48927,17/04/21 00:50:01
Germany,10547,17/04/21 02:50:01
UK,3435,17/04/21 01:50:01
USA,24913,17/04/20 17:50:01
Total Players,49040,17/04/21 00:52:01
Germany,10597,17/04/21 02:52:01
UK,3424,17/04/21 01:52:01
USA,25017,17/04/20 17:52:01
Total Players,49027,17/04/21 00:54:01
Germany,10564,17/04/21 02:54:01
UK,3461,17/04/21 01:54:01
USA,25012,17/04/20 17:54:01
Total Players,48965,17/04/21 00:56:01
Germany,10556,17/04/21 02:56:01
UK,3440,17/04/21 01:56:01
USA,25002,17/04/20 17:56:01
Total Players,49004,17/04/21 00:58:01
Germany,10543,17/04/21 02:58:01
UK,3425,17/04/21 01:58:01
USA,25073,17/04/20 17:58:01
Total Players,48910,17/04/21 01:00:01
Germany,10475,17/04/21 03:00:01
UK,3385,17/04/21 02:00:01
USA,25103,17/04/20 18:00:01
Total Players,48900,17/04/21 01:02:01
Germany,10489,17/04/21 03:02:01
UK,3356,17/04/21 02:02:01
USA,25173,17/04/20 18:02:01
Total Players,48909,17/04/21 01:04:01
Germany,10524,17/04/21 03:04:01
UK,3363,17/04/21 02:04:01
USA,25844,17/04/20 18:04:01
Total Players,48962,17/04/21 01:06:01
Germany,10489,17/04/21 03:06:01
UK,3349,17/04/21 02:06:01
USA,25244,17/04/20 18:06:01
Total Players,49024,17/04/21 01:08:01
Germany,10521,17/04/21 03:08:01
UK,3366,17/04/21 02:08:01
USA,25234,17/04/20 18:08:01
Total Players,48896,17/04/21 01:10:01
Germany,10442,17/04/21 03:10:01
UK,3385,17/04/21 02:10:01
USA,25161,17/04/20 18:10:01
Total Players,48928,17/04/21 01:12:01
Germany,10494,17/04/21 03:12:01
UK,3389,17/04/21 02:12:01
USA,25073,17/04/20 18:12:01
Total Players,48938,17/04/21 01:14:01
Germany,10459,17/04/21 03:14:01
UK,3376,17/04/21 02:14:01
USA,25115,17/04/20 18:14:01
Total Players,48788,17/04/21 01:16:01
Germany,10409,17/04/21 03:16:01
UK,3365,17/04/21 02:16:01
USA,25074,17/04/20 18:16:01
Total Players,48644,17/04/21 01:18:01
Germany,10390,17/04/21 03:18:01
UK,3362,17/04/21 02:18:01
USA,25020,17/04/20 18:18:01
Total Players,48797,17/04/21 01:20:01
Germany,10429,17/04/21 03:20:01
UK,3364,17/04/21 02:20:01
USA,25132,17/04/20 18:20:01
Total Players,48956,17/04/21 01:22:01
Germany,10439,17/04/21 03:22:01
UK,3364,17/04/21 02:22:01
USA,25208,17/04/20 18:22:01
Total Players,49078,17/04/21 01:24:01
Germany,10508,17/04/21 03:24:01
UK,3366,17/04/21 02:24:01
USA,25224,17/04/20 18:24:01
Total Players,49088,17/04/21 01:26:01
Germany,10567,17/04/21 03:26:01
UK,3360,17/04/21 02:26:01
USA,25254,17/04/20 18:26:01
Total Players,49168,17/04/21 01:28:01
Germany,10553,17/04/21 03:28:01
UK,3388,17/04/21 02:28:01
USA,25289,17/04/20 18:28:01
Total Players,49132,17/04/21 01:30:01
Germany,10527,17/04/21 03:30:01
UK,3421,17/04/21 02:30:01
USA,25235,17/04/20 18:30:01
Total Players,49113,17/04/21 01:32:01
Germany,10541,17/04/21 03:32:01
UK,3411,17/04/21 02:32:01
USA,25307,17/04/20 18:32:01
Total Players,49056,17/04/21 01:34:01
Germany,10496,17/04/21 03:34:01
UK,3435,17/04/21 02:34:01
USA,25205,17/04/20 18:34:01
Total Players,48952,17/04/21 01:36:01
Germany,10458,17/04/21 03:36:01
UK,3453,17/04/21 02:36:01
USA,25187,17/04/20 18:36:01
Total Players,48926,17/04/21 01:38:01
Germany,10452,17/04/21 03:38:01
UK,3453,17/04/21 02:38:01
USA,25146,17/04/20 18:38:01
Total Players,48915,17/04/21 01:40:01
Germany,10491,17/04/21 03:40:01
UK,3439,17/04/21 02:40:01
USA,25185,17/04/20 18:40:01
Total Players,48766,17/04/21 01:42:01
Germany,10392,17/04/21 03:42:01
UK,3423,17/04/21 02:42:01
USA,25166,17/04/20 18:42:01
Total Players,48688,17/04/21 01:44:01
Germany,10387,17/04/21 03:44:01
UK,3407,17/04/21 02:44:01
USA,25918,17/04/20 18:44:01
Total Players,48740,17/04/21 01:46:01
Germany,10401,17/04/21 03:46:01
UK,3379,17/04/21 02:46:01
USA,25208,17/04/20 18:46:01
Total Players,48778,17/04/21 01:48:01
Germany,10421,17/04/21 03:48:01
UK,3398,17/04/21 02:48:01
USA,25232,17/04/20 18:48:01
Total Players,48843,17/04/21 01:50:01
Germany,10442,17/04/21 03:50:01
UK,3413,17/04/21 02:50:01
USA,25232,17/04/20 18:50:01
Total Players,48818,17/04/21 01:52:01
