Total Players,51765,17/03/08 00:00:01
Germany,12465,17/03/08 02:00:01
UK,6087,17/03/08 01:00:01
USA,23365,17/03/07 17:00:01
Total Players,51662,17/03/08 00:02:01
Germany,12447,17/03/08 02:02:01
UK,6014,17/03/08 01:02:01
USA,23377,17/03/07 17:02:01
Total Players,51728,17/03/08 00:04:02
Germany,12480,17/03/08 02:04:02
UK,6020,17/03/08 01:04:02
USA,23460,17/03/07 17:04:02
Total Players,51700,17/03/08 00:06:01
Germany,12431,17/03/08 02:06:01
UK,5993,17/03/08 01:06:01
USA,23458,17/03/07 17:06:01
Total Players,51659,17/03/08 00:08:01
Germany,12415,17/03/08 02:08:01
UK,6023,17/03/08 01:08:01
USA,23449,17/03/07 17:08:01
Total Players,51714,17/03/08 00:10:01
Germany,12430,17/03/08 02:10:01
UK,6070,17/03/08 01:10:01
USA,23490,17/03/07 17:10:01
Total Players,51602,17/03/08 00:12:01
Germany,12350,17/03/08 02:12:01
UK,6006,17/03/08 01:12:01
USA,23568,17/03/07 17:12:01
Total Players,51606,17/03/08 00:14:01
Germany,12353,17/03/08 02:14:01
UK,5981,17/03/08 01:14:01
USA,23569,17/03/07 17:14:01
Total Players,51595,17/03/08 00:16:01
Germany,12349,17/03/08 02:16:01
UK,5940,17/03/08 01:16:01
USA,24439,17/03/07 17:16:01
Total Players,51727,17/03/08 00:18:01
Germany,12470,17/03/08 02:18:01
UK,5925,17/03/08 01:18:01
USA,24483,17/03/07 17:18:01
Total Players,51511,17/03/08 00:20:01
Germany,12360,17/03/08 02:20:01
UK,5924,17/03/08 01:20:01
USA,24393,17/03/07 17:20:01
Total Players,51381,17/03/08 00:22:01
Germany,12306,17/03/08 02:22:01
UK,5912,17/03/08 01:22:01
USA,23557,17/03/07 17:22:01
Total Players,51412,17/03/08 00:24:01
Germany,12307,17/03/08 02:24:01
UK,5903,17/03/08 01:24:01
USA,24370,17/03/07 17:24:01
Total Players,51629,17/03/08 00:26:01
Germany,12383,17/03/08 02:26:01
UK,5917,17/03/08 01:26:01
USA,24498,17/03/07 17:26:01
Total Players,51603,17/03/08 00:28:01
Germany,12347,17/03/08 02:28:01
UK,5928,17/03/08 01:28:01
USA,24546,17/03/07 17:28:01
Total Players,51500,17/03/08 00:30:01
Germany,12233,17/03/08 02:30:01
UK,5901,17/03/08 01:30:01
USA,24622,17/03/07 17:30:01
Total Players,51525,17/03/08 00:32:01
Germany,12219,17/03/08 02:32:01
UK,5880,17/03/08 01:32:01
USA,23888,17/03/07 17:32:01
Total Players,51557,17/03/08 00:34:01
Germany,12224,17/03/08 02:34:01
UK,5848,17/03/08 01:34:01
USA,23957,17/03/07 17:34:01
Total Players,51391,17/03/08 00:36:01
Germany,12145,17/03/08 02:36:01
UK,5858,17/03/08 01:36:01
USA,23945,17/03/07 17:36:01
Total Players,51482,17/03/08 00:38:01
Germany,12172,17/03/08 02:38:01
UK,5875,17/03/08 01:38:01
USA,24019,17/03/07 17:38:01
Total Players,51389,17/03/08 00:40:01
Germany,12178,17/03/08 02:40:01
UK,5869,17/03/08 01:40:01
USA,23872,17/03/07 17:40:01
Total Players,51421,17/03/08 00:42:01
Germany,12181,17/03/08 02:42:01
UK,5865,17/03/08 01:42:01
USA,23875,17/03/07 17:42:01
Total Players,51259,17/03/08 00:44:02
Germany,12163,17/03/08 02:44:02
UK,5812,17/03/08 01:44:02
USA,23838,17/03/07 17:44:02
Total Players,51234,17/03/08 00:46:01
Germany,12186,17/03/08 02:46:01
UK,5811,17/03/08 01:46:01
USA,23820,17/03/07 17:46:01
Total Players,50943,17/03/08 00:48:01
Germany,12044,17/03/08 02:48:01
UK,5772,17/03/08 01:48:01
USA,24573,17/03/07 17:48:01
Total Players,51048,17/03/08 00:50:01
Germany,12065,17/03/08 02:50:01
UK,5775,17/03/08 01:50:01
USA,23838,17/03/07 17:50:01
Total Players,51212,17/03/08 00:52:01
Germany,12111,17/03/08 02:52:01
UK,5841,17/03/08 01:52:01
USA,23819,17/03/07 17:52:01
Total Players,51194,17/03/08 00:54:01
Germany,12130,17/03/08 02:54:01
UK,5853,17/03/08 01:54:01
USA,23803,17/03/07 17:54:01
Total Players,51202,17/03/08 00:56:01
Germany,12063,17/03/08 02:56:01
UK,5858,17/03/08 01:56:01
USA,23901,17/03/07 17:56:01
Total Players,51126,17/03/08 00:58:01
Germany,12032,17/03/08 02:58:01
UK,5836,17/03/08 01:58:01
USA,23896,17/03/07 17:58:01
Total Players,51228,17/03/08 01:00:01
Germany,12051,17/03/08 03:00:01
UK,5813,17/03/08 02:00:01
USA,23987,17/03/07 18:00:01
Total Players,51218,17/03/08 01:02:01
Germany,12055,17/03/08 03:02:01
UK,5820,17/03/08 02:02:01
