Total Players,49782,17/04/29 00:00:01
Germany,11003,17/04/29 02:00:01
UK,4602,17/04/29 01:00:01
USA,24815,17/04/28 17:00:01
Total Players,49682,17/04/29 00:02:01
Germany,10990,17/04/29 02:02:01
UK,4565,17/04/29 01:02:01
USA,25421,17/04/28 17:02:01
Total Players,49529,17/04/29 00:04:01
Germany,10983,17/04/29 02:04:01
UK,4546,17/04/29 01:04:01
USA,24676,17/04/28 17:04:01
Total Players,49526,17/04/29 00:06:01
Germany,10963,17/04/29 02:06:01
UK,4548,17/04/29 01:06:01
USA,24714,17/04/28 17:06:01
Total Players,49402,17/04/29 00:08:01
Germany,10917,17/04/29 02:08:01
UK,4564,17/04/29 01:08:01
USA,24660,17/04/28 17:08:01
Total Players,49376,17/04/29 00:10:01
Germany,10938,17/04/29 02:10:01
UK,4544,17/04/29 01:10:01
USA,24699,17/04/28 17:10:01
Total Players,49076,17/04/29 00:12:01
Germany,10855,17/04/29 02:12:01
UK,4535,17/04/29 01:12:01
USA,25294,17/04/28 17:12:01
Total Players,49074,17/04/29 00:14:01
Germany,10878,17/04/29 02:14:01
UK,4565,17/04/29 01:14:01
USA,25253,17/04/28 17:14:01
Total Players,49149,17/04/29 00:16:01
Germany,10928,17/04/29 02:16:01
UK,4519,17/04/29 01:16:01
USA,24658,17/04/28 17:16:01
Total Players,48944,17/04/29 00:18:01
Germany,10851,17/04/29 02:18:01
UK,4515,17/04/29 01:18:01
USA,24567,17/04/28 17:18:01
Total Players,48870,17/04/29 00:20:01
Germany,10788,17/04/29 02:20:01
UK,4460,17/04/29 01:20:01
USA,24597,17/04/28 17:20:01
Total Players,48918,17/04/29 00:22:01
Germany,10838,17/04/29 02:22:01
UK,4411,17/04/29 01:22:01
USA,24594,17/04/28 17:22:01
Total Players,48862,17/04/29 00:24:01
Germany,10750,17/04/29 02:24:01
UK,4464,17/04/29 01:24:01
USA,25268,17/04/28 17:24:01
Total Players,48881,17/04/29 00:26:01
Germany,10677,17/04/29 02:26:01
UK,4468,17/04/29 01:26:01
USA,24648,17/04/28 17:26:01
Total Players,48663,17/04/29 00:28:01
Germany,10557,17/04/29 02:28:01
UK,4461,17/04/29 01:28:01
USA,24570,17/04/28 17:28:01
Total Players,48575,17/04/29 00:30:01
Germany,10545,17/04/29 02:30:01
UK,4476,17/04/29 01:30:01
USA,24543,17/04/28 17:30:01
Total Players,48602,17/04/29 00:32:01
Germany,10539,17/04/29 02:32:01
UK,4457,17/04/29 01:32:01
USA,24645,17/04/28 17:32:01
Total Players,48491,17/04/29 00:34:01
Germany,10503,17/04/29 02:34:01
UK,4491,17/04/29 01:34:01
USA,24560,17/04/28 17:34:01
Total Players,48367,17/04/29 00:36:01
Germany,10526,17/04/29 02:36:01
UK,4449,17/04/29 01:36:01
USA,25142,17/04/28 17:36:01
Total Players,48436,17/04/29 00:38:01
Germany,10538,17/04/29 02:38:01
UK,4427,17/04/29 01:38:01
USA,25193,17/04/28 17:38:01
Total Players,48331,17/04/29 00:40:01
Germany,10441,17/04/29 02:40:01
UK,4448,17/04/29 01:40:01
USA,25177,17/04/28 17:40:01
Total Players,48121,17/04/29 00:42:01
Germany,10409,17/04/29 02:42:01
UK,4439,17/04/29 01:42:01
USA,25071,17/04/28 17:42:01
Total Players,47972,17/04/29 00:44:01
Germany,10331,17/04/29 02:44:01
UK,4449,17/04/29 01:44:01
USA,25029,17/04/28 17:44:01
Total Players,48080,17/04/29 00:46:02
Germany,10377,17/04/29 02:46:02
UK,4458,17/04/29 01:46:02
USA,25119,17/04/28 17:46:02
Total Players,48259,17/04/29 00:48:01
Germany,10468,17/04/29 02:48:01
UK,4469,17/04/29 01:48:01
USA,25192,17/04/28 17:48:01
Total Players,48228,17/04/29 00:50:01
Germany,10454,17/04/29 02:50:01
UK,4446,17/04/29 01:50:01
USA,25200,17/04/28 17:50:01
Total Players,48255,17/04/29 00:52:01
Germany,10483,17/04/29 02:52:01
UK,4463,17/04/29 01:52:01
USA,25188,17/04/28 17:52:01
Total Players,48270,17/04/29 00:54:01
Germany,10430,17/04/29 02:54:01
UK,4462,17/04/29 01:54:01
USA,25333,17/04/28 17:54:01
Total Players,48253,17/04/29 00:56:01
Germany,10367,17/04/29 02:56:01
UK,4510,17/04/29 01:56:01
USA,25338,17/04/28 17:56:01
Total Players,48287,17/04/29 00:58:01
Germany,10393,17/04/29 02:58:01
UK,4500,17/04/29 01:58:01
USA,25353,17/04/28 17:58:01
Total Players,48330,17/04/29 01:00:01
Germany,10429,17/04/29 03:00:01
UK,4497,17/04/29 02:00:01
USA,25389,17/04/28 18:00:01
Total Players,48380,17/04/29 01:02:01
Germany,10360,17/04/29 03:02:01
UK,4524,17/04/29 02:02:01
USA,24729,17/04/28 18:02:01
Total Players,48451,17/04/29 01:04:01
Germany,10425,17/04/29 03:04:01
UK,4524,17/04/29 02:04:01
USA,24717,17/04/28 18:04:01
Total Players,48525,17/04/29 01:06:01
Germany,10458,17/04/29 03:06:01
UK,4514,17/04/29 02:06:01
USA,24769,17/04/28 18:06:01
Total Players,48440,17/04/29 01:08:01
Germany,10433,17/04/29 03:08:01
UK,4517,17/04/29 02:08:01
USA,24707,17/04/28 18:08:01
Total Players,48448,17/04/29 01:10:01
Germany,10435,17/04/29 03:10:01
UK,4498,17/04/29 02:10:01
USA,24807,17/04/28 18:10:01
Total Players,48430,17/04/29 01:12:01
Germany,10465,17/04/29 03:12:01
UK,4481,17/04/29 02:12:01
USA,24772,17/04/28 18:12:01
Total Players,48425,17/04/29 01:14:01
Germany,10405,17/04/29 03:14:01
UK,4527,17/04/29 02:14:01
USA,24758,17/04/28 18:14:01
Total Players,48533,17/04/29 01:16:01
Germany,10445,17/04/29 03:16:01
UK,4493,17/04/29 02:16:01
USA,24892,17/04/28 18:16:01
Total Players,48556,17/04/29 01:18:01
Germany,10496,17/04/29 03:18:01
UK,4495,17/04/29 02:18:01
USA,24899,17/04/28 18:18:01
Total Players,48529,17/04/29 01:20:01
Germany,10455,17/04/29 03:20:01
UK,4488,17/04/29 02:20:01
USA,25633,17/04/28 18:20:01
Total Players,48565,17/04/29 01:22:01
Germany,10536,17/04/29 03:22:01
UK,4450,17/04/29 02:22:01
USA,24917,17/04/28 18:22:01
Total Players,48597,17/04/29 01:24:01
Germany,10521,17/04/29 03:24:01
UK,4443,17/04/29 02:24:01
USA,24940,17/04/28 18:24:01
Total Players,48613,17/04/29 01:26:01
Germany,10483,17/04/29 03:26:01
UK,4459,17/04/29 02:26:01
USA,24938,17/04/28 18:26:01
Total Players,48678,17/04/29 01:28:01
Germany,10485,17/04/29 03:28:01
UK,4472,17/04/29 02:28:01
USA,24992,17/04/28 18:28:01
Total Players,48708,17/04/29 01:30:01
Germany,10483,17/04/29 03:30:01
UK,4493,17/04/29 02:30:01
USA,24995,17/04/28 18:30:01
Total Players,48683,17/04/29 01:32:01
Germany,10416,17/04/29 03:32:01
UK,4525,17/04/29 02:32:01
USA,25041,17/04/28 18:32:01
Total Players,48690,17/04/29 01:34:01
Germany,10403,17/04/29 03:34:01
