Total Players,41627,17/02/25 00:00:01
Germany,9905,17/02/25 02:00:01
UK,4536,17/02/25 01:00:01
USA,19205,17/02/24 17:00:01
Total Players,41582,17/02/25 00:02:01
Germany,9923,17/02/25 02:02:01
UK,4567,17/02/25 01:02:01
USA,19145,17/02/24 17:02:01
Total Players,41564,17/02/25 00:04:01
Germany,9835,17/02/25 02:04:01
UK,4585,17/02/25 01:04:01
USA,19113,17/02/24 17:04:01
Total Players,41428,17/02/25 00:06:01
Germany,9811,17/02/25 02:06:01
UK,4557,17/02/25 01:06:01
USA,19073,17/02/24 17:06:01
Total Players,41454,17/02/25 00:08:01
Germany,9790,17/02/25 02:08:01
UK,4541,17/02/25 01:08:01
USA,19069,17/02/24 17:08:01
Total Players,41396,17/02/25 00:10:01
Germany,9748,17/02/25 02:10:01
UK,4538,17/02/25 01:10:01
USA,19034,17/02/24 17:10:01
Total Players,41356,17/02/25 00:12:01
Germany,9705,17/02/25 02:12:01
UK,4499,17/02/25 01:12:01
USA,19059,17/02/24 17:12:01
Total Players,41244,17/02/25 00:14:01
Germany,9623,17/02/25 02:14:01
UK,4500,17/02/25 01:14:01
USA,19083,17/02/24 17:14:01
Total Players,41146,17/02/25 00:16:01
Germany,9604,17/02/25 02:16:01
UK,4462,17/02/25 01:16:01
USA,19091,17/02/24 17:16:01
Total Players,41142,17/02/25 00:18:01
Germany,9623,17/02/25 02:18:01
UK,4474,17/02/25 01:18:01
USA,19090,17/02/24 17:18:01
Total Players,41161,17/02/25 00:20:01
Germany,9620,17/02/25 02:20:01
UK,4440,17/02/25 01:20:01
USA,19161,17/02/24 17:20:01
Total Players,41158,17/02/25 00:22:01
Germany,9677,17/02/25 02:22:01
UK,4443,17/02/25 01:22:01
USA,19121,17/02/24 17:22:01
Total Players,41043,17/02/25 00:24:02
Germany,9546,17/02/25 02:24:02
UK,4458,17/02/25 01:24:02
USA,19126,17/02/24 17:24:02
Total Players,41060,17/02/25 00:26:01
Germany,9505,17/02/25 02:26:01
UK,4480,17/02/25 01:26:01
USA,19142,17/02/24 17:26:01
Total Players,41020,17/02/25 00:28:01
Germany,9490,17/02/25 02:28:01
UK,4455,17/02/25 01:28:01
USA,19139,17/02/24 17:28:01
Total Players,40980,17/02/25 00:30:01
Germany,9480,17/02/25 02:30:01
UK,4457,17/02/25 01:30:01
USA,19191,17/02/24 17:30:01
Total Players,40858,17/02/25 00:32:01
Germany,9472,17/02/25 02:32:01
UK,4449,17/02/25 01:32:01
USA,19082,17/02/24 17:32:01
Total Players,40791,17/02/25 00:34:01
