Total Players,51092,17/01/26 00:00:01
Germany,14734,17/01/26 02:00:01
UK,17124,17/01/26 01:00:01
USA,18486,17/01/25 17:00:01
Total Players,51025,17/01/26 00:02:01
Germany,14757,17/01/26 02:02:01
UK,17098,17/01/26 01:02:01
USA,18436,17/01/25 17:02:01
Total Players,50976,17/01/26 00:04:01
Germany,14736,17/01/26 02:04:01
UK,17084,17/01/26 01:04:01
USA,18387,17/01/25 17:04:01
Total Players,50947,17/01/26 00:06:01
Germany,14741,17/01/26 02:06:01
UK,17009,17/01/26 01:06:01
USA,18410,17/01/25 17:06:01
Total Players,50948,17/01/26 00:08:01
Germany,14770,17/01/26 02:08:01
UK,16940,17/01/26 01:08:01
USA,18470,17/01/25 17:08:01
Total Players,50858,17/01/26 00:10:01
Germany,14712,17/01/26 02:10:01
UK,16928,17/01/26 01:10:01
USA,18443,17/01/25 17:10:01
Total Players,50681,17/01/26 00:12:01
Germany,14648,17/01/26 02:12:01
UK,16866,17/01/26 01:12:01
USA,18387,17/01/25 17:12:01
Total Players,50625,17/01/26 00:14:01
Germany,14646,17/01/26 02:14:01
UK,16824,17/01/26 01:14:01
USA,18368,17/01/25 17:14:01
Total Players,50558,17/01/26 00:16:01
Germany,14555,17/01/26 02:16:01
UK,16840,17/01/26 01:16:01
USA,18409,17/01/25 17:16:01
Total Players,50644,17/01/26 00:18:01
Germany,14542,17/01/26 02:18:01
UK,16836,17/01/26 01:18:01
USA,18499,17/01/25 17:18:01
Total Players,50501,17/01/26 00:20:01
Germany,14504,17/01/26 02:20:01
UK,16718,17/01/26 01:20:01
USA,18527,17/01/25 17:20:01
Total Players,50467,17/01/26 00:22:01
Germany,14488,17/01/26 02:22:01
UK,16705,17/01/26 01:22:01
USA,18492,17/01/25 17:22:01
Total Players,50398,17/01/26 00:24:01
Germany,14410,17/01/26 02:24:01
UK,16659,17/01/26 01:24:01
USA,18540,17/01/25 17:24:01
Total Players,50436,17/01/26 00:26:01
Germany,14475,17/01/26 02:26:01
UK,16662,17/01/26 01:26:01
USA,18517,17/01/25 17:26:01
Total Players,50547,17/01/26 00:28:01
Germany,14398,17/01/26 02:28:01
UK,16709,17/01/26 01:28:01
