Total Players,56152,17/04/24 00:00:01
Germany,12418,17/04/24 02:00:01
UK,4156,17/04/24 01:00:01
USA,28404,17/04/23 17:00:01
Total Players,55995,17/04/24 00:02:01
Germany,12415,17/04/24 02:02:01
UK,4139,17/04/24 01:02:01
USA,28364,17/04/23 17:02:01
Total Players,55987,17/04/24 00:04:01
Germany,12419,17/04/24 02:04:01
UK,4156,17/04/24 01:04:01
USA,28353,17/04/23 17:04:01
Total Players,55955,17/04/24 00:06:01
Germany,12354,17/04/24 02:06:01
UK,4149,17/04/24 01:06:01
USA,28420,17/04/23 17:06:01
Total Players,56000,17/04/24 00:08:02
Germany,12405,17/04/24 02:08:02
UK,4181,17/04/24 01:08:02
USA,28426,17/04/23 17:08:02
Total Players,55970,17/04/24 00:10:01
Germany,12416,17/04/24 02:10:01
UK,4153,17/04/24 01:10:01
USA,28366,17/04/23 17:10:01
Total Players,55901,17/04/24 00:12:01
Germany,12392,17/04/24 02:12:01
UK,4150,17/04/24 01:12:01
USA,28322,17/04/23 17:12:01
Total Players,55846,17/04/24 00:14:01
Germany,12276,17/04/24 02:14:01
UK,4155,17/04/24 01:14:01
USA,28350,17/04/23 17:14:01
Total Players,55594,17/04/24 00:16:01
Germany,12197,17/04/24 02:16:01
UK,4114,17/04/24 01:16:01
USA,28197,17/04/23 17:16:01
Total Players,55486,17/04/24 00:18:01
Germany,12096,17/04/24 02:18:01
UK,4096,17/04/24 01:18:01
USA,28256,17/04/23 17:18:01
Total Players,55470,17/04/24 00:20:01
Germany,12068,17/04/24 02:20:01
UK,4105,17/04/24 01:20:01
USA,28280,17/04/23 17:20:01
Total Players,55678,17/04/24 00:22:02
Germany,12093,17/04/24 02:22:02
UK,4101,17/04/24 01:22:02
USA,28474,17/04/23 17:22:02
Total Players,55672,17/04/24 00:24:01
Germany,12162,17/04/24 02:24:01
UK,4137,17/04/24 01:24:01
USA,28438,17/04/23 17:24:01
Total Players,55656,17/04/24 00:26:01
Germany,12147,17/04/24 02:26:01
UK,4128,17/04/24 01:26:01
USA,28383,17/04/23 17:26:01
Total Players,55760,17/04/24 00:28:02
Germany,12215,17/04/24 02:28:02
UK,4136,17/04/24 01:28:02
USA,28431,17/04/23 17:28:02
Total Players,55688,17/04/24 00:30:01
Germany,12175,17/04/24 02:30:01
UK,4152,17/04/24 01:30:01
USA,28436,17/04/23 17:30:01
Total Players,55720,17/04/24 00:32:01
Germany,12173,17/04/24 02:32:01
UK,4164,17/04/24 01:32:01
USA,29092,17/04/23 17:32:01
Total Players,55815,17/04/24 00:34:01
Germany,12168,17/04/24 02:34:01
UK,4131,17/04/24 01:34:01
USA,28608,17/04/23 17:34:01
Total Players,55764,17/04/24 00:36:01
Germany,12154,17/04/24 02:36:01
UK,4132,17/04/24 01:36:01
USA,28638,17/04/23 17:36:01
Total Players,55660,17/04/24 00:38:01
Germany,12200,17/04/24 02:38:01
UK,4142,17/04/24 01:38:01
USA,29078,17/04/23 17:38:01
Total Players,55663,17/04/24 00:40:01
Germany,12141,17/04/24 02:40:01
UK,4147,17/04/24 01:40:01
USA,29111,17/04/23 17:40:01
Total Players,55552,17/04/24 00:42:01
Germany,12079,17/04/24 02:42:01
UK,4168,17/04/24 01:42:01
USA,28466,17/04/23 17:42:01
Total Players,55200,17/04/24 00:44:01
Germany,12006,17/04/24 02:44:01
UK,4143,17/04/24 01:44:01
USA,28290,17/04/23 17:44:01
Total Players,55195,17/04/24 00:46:01
Germany,11969,17/04/24 02:46:01
UK,4156,17/04/24 01:46:01
USA,28966,17/04/23 17:46:01
Total Players,55251,17/04/24 00:48:01
Germany,11995,17/04/24 02:48:01
UK,4160,17/04/24 01:48:01
USA,28382,17/04/23 17:48:01
Total Players,55227,17/04/24 00:50:01
Germany,11978,17/04/24 02:50:01
UK,4119,17/04/24 01:50:01
USA,28456,17/04/23 17:50:01
Total Players,55205,17/04/24 00:52:02
Germany,11943,17/04/24 02:52:02
UK,4069,17/04/24 01:52:02
USA,28442,17/04/23 17:52:02
Total Players,55281,17/04/24 00:54:01
Germany,12004,17/04/24 02:54:01
UK,4090,17/04/24 01:54:01
USA,28430,17/04/23 17:54:01
Total Players,55282,17/04/24 00:56:01
Germany,11956,17/04/24 02:56:01
UK,4102,17/04/24 01:56:01
USA,28454,17/04/23 17:56:01
Total Players,55435,17/04/24 00:58:01
Germany,11994,17/04/24 02:58:01
UK,4100,17/04/24 01:58:01
USA,28601,17/04/23 17:58:01
Total Players,55369,17/04/24 01:00:01
Germany,11936,17/04/24 03:00:01
UK,4112,17/04/24 02:00:01
USA,28591,17/04/23 18:00:01
Total Players,55448,17/04/24 01:02:01
Germany,11982,17/04/24 03:02:01
UK,4095,17/04/24 02:02:01
USA,28639,17/04/23 18:02:01
Total Players,55316,17/04/24 01:04:01
Germany,11930,17/04/24 03:04:01
UK,4073,17/04/24 02:04:01
USA,28562,17/04/23 18:04:01
Total Players,55343,17/04/24 01:06:02
Germany,11927,17/04/24 03:06:02
UK,4103,17/04/24 02:06:02
USA,28618,17/04/23 18:06:02
Total Players,55455,17/04/24 01:08:01
Germany,11985,17/04/24 03:08:01
UK,4091,17/04/24 02:08:01
USA,28621,17/04/23 18:08:01
Total Players,55431,17/04/24 01:10:01
Germany,12011,17/04/24 03:10:01
UK,4087,17/04/24 02:10:01
USA,28543,17/04/23 18:10:01
Total Players,55420,17/04/24 01:12:01
Germany,12043,17/04/24 03:12:01
UK,4107,17/04/24 02:12:01
USA,28544,17/04/23 18:12:01
Total Players,55346,17/04/24 01:14:01
Germany,11987,17/04/24 03:14:01
UK,4083,17/04/24 02:14:01
USA,28573,17/04/23 18:14:01
Total Players,55420,17/04/24 01:16:01
Germany,12074,17/04/24 03:16:01
UK,4083,17/04/24 02:16:01
USA,28537,17/04/23 18:16:01
Total Players,55400,17/04/24 01:18:01
Germany,12088,17/04/24 03:18:01
UK,4084,17/04/24 02:18:01
USA,28499,17/04/23 18:18:01
Total Players,55425,17/04/24 01:20:01
Germany,12076,17/04/24 03:20:01
UK,4080,17/04/24 02:20:01
USA,28505,17/04/23 18:20:01
Total Players,55456,17/04/24 01:22:01
Germany,12033,17/04/24 03:22:01
UK,4074,17/04/24 02:22:01
USA,28552,17/04/23 18:22:01
Total Players,55429,17/04/24 01:24:01
Germany,12073,17/04/24 03:24:01
UK,4021,17/04/24 02:24:01
USA,28593,17/04/23 18:24:01
Total Players,55491,17/04/24 01:26:01
Germany,12095,17/04/24 03:26:01
UK,4025,17/04/24 02:26:01
USA,28619,17/04/23 18:26:01
Total Players,55493,17/04/24 01:28:01
Germany,12103,17/04/24 03:28:01
UK,4031,17/04/24 02:28:01
USA,28628,17/04/23 18:28:01
Total Players,55501,17/04/24 01:30:01
Germany,12061,17/04/24 03:30:01
UK,4036,17/04/24 02:30:01
USA,28644,17/04/23 18:30:01
Total Players,55471,17/04/24 01:32:01
Germany,12119,17/04/24 03:32:01
UK,4049,17/04/24 02:32:01
USA,28550,17/04/23 18:32:01
Total Players,55485,17/04/24 01:34:01
Germany,12089,17/04/24 03:34:01
UK,4059,17/04/24 02:34:01
USA,28551,17/04/23 18:34:01
Total Players,55394,17/04/24 01:36:01
Germany,12092,17/04/24 03:36:01
UK,4059,17/04/24 02:36:01
USA,28481,17/04/23 18:36:01
Total Players,55305,17/04/24 01:38:01
Germany,11972,17/04/24 03:38:01
UK,4025,17/04/24 02:38:01
USA,28563,17/04/23 18:38:01
Total Players,55177,17/04/24 01:40:01
Germany,11956,17/04/24 03:40:01
UK,3987,17/04/24 02:40:01
USA,28553,17/04/23 18:40:01
Total Players,55140,17/04/24 01:42:01
Germany,11950,17/04/24 03:42:01
UK,4035,17/04/24 02:42:01
USA,28491,17/04/23 18:42:01
Total Players,55040,17/04/24 01:44:01
Germany,11921,17/04/24 03:44:01
UK,4064,17/04/24 02:44:01
USA,28381,17/04/23 18:44:01
Total Players,54965,17/04/24 01:46:01
Germany,11948,17/04/24 03:46:01
UK,4088,17/04/24 02:46:01
USA,28307,17/04/23 18:46:01
Total Players,55102,17/04/24 01:48:01
Germany,12050,17/04/24 03:48:01
UK,4056,17/04/24 02:48:01
USA,28397,17/04/23 18:48:01
Total Players,55048,17/04/24 01:50:01
Germany,11992,17/04/24 03:50:01
UK,4083,17/04/24 02:50:01
USA,28426,17/04/23 18:50:01
Total Players,55045,17/04/24 01:52:01
Germany,11957,17/04/24 03:52:01
UK,4103,17/04/24 02:52:01
USA,28378,17/04/23 18:52:01
Total Players,55013,17/04/24 01:54:01
Germany,11889,17/04/24 03:54:01
UK,4068,17/04/24 02:54:01
USA,28421,17/04/23 18:54:01
Total Players,55003,17/04/24 01:56:01
Germany,11911,17/04/24 03:56:01
UK,4065,17/04/24 02:56:01
USA,28390,17/04/23 18:56:01
Total Players,55107,17/04/24 01:58:01
Germany,11927,17/04/24 03:58:01
UK,4082,17/04/24 02:58:01
USA,28565,17/04/23 18:58:01
Total Players,55017,17/04/24 02:00:01
Germany,11921,17/04/24 04:00:01
UK,4067,17/04/24 03:00:01
USA,28426,17/04/23 19:00:01
Total Players,54994,17/04/24 02:02:01
Germany,11971,17/04/24 04:02:01
UK,4093,17/04/24 03:02:01
USA,28327,17/04/23 19:02:01
Total Players,54856,17/04/24 02:04:01
Germany,11883,17/04/24 04:04:01
UK,4075,17/04/24 03:04:01
USA,28346,17/04/23 19:04:01
Total Players,54868,17/04/24 02:06:02
Germany,11841,17/04/24 04:06:02
UK,4074,17/04/24 03:06:02
USA,29046,17/04/23 19:06:02
Total Players,54868,17/04/24 02:08:01
Germany,11859,17/04/24 04:08:01
UK,4063,17/04/24 03:08:01
USA,28411,17/04/23 19:08:01
Total Players,54777,17/04/24 02:10:01
Germany,11825,17/04/24 04:10:01
UK,4048,17/04/24 03:10:01
USA,28366,17/04/23 19:10:01
Total Players,54741,17/04/24 02:12:01
Germany,11789,17/04/24 04:12:01
UK,4062,17/04/24 03:12:01
USA,28437,17/04/23 19:12:01
Total Players,54684,17/04/24 02:14:01
Germany,11798,17/04/24 04:14:01
UK,4060,17/04/24 03:14:01
USA,28345,17/04/23 19:14:01
Total Players,54630,17/04/24 02:16:01
Germany,11815,17/04/24 04:16:01
UK,4078,17/04/24 03:16:01
USA,28895,17/04/23 19:16:01
Total Players,54582,17/04/24 02:18:01
Germany,11794,17/04/24 04:18:01
UK,4106,17/04/24 03:18:01
USA,28260,17/04/23 19:18:01
Total Players,54559,17/04/24 02:20:01
Germany,11775,17/04/24 04:20:01
UK,4137,17/04/24 03:20:01
USA,28227,17/04/23 19:20:01
Total Players,54638,17/04/24 02:22:01
Germany,11745,17/04/24 04:22:01
UK,4132,17/04/24 03:22:01
USA,28347,17/04/23 19:22:01
Total Players,54504,17/04/24 02:24:01
Germany,11759,17/04/24 04:24:01
UK,4140,17/04/24 03:24:01
USA,28216,17/04/23 19:24:01
Total Players,54503,17/04/24 02:26:01
Germany,11764,17/04/24 04:26:01
UK,4094,17/04/24 03:26:01
USA,28192,17/04/23 19:26:01
Total Players,54376,17/04/24 02:28:01
Germany,11706,17/04/24 04:28:01
UK,4050,17/04/24 03:28:01
USA,28212,17/04/23 19:28:01
Total Players,54439,17/04/24 02:30:01
Germany,11742,17/04/24 04:30:01
UK,4060,17/04/24 03:30:01
USA,28215,17/04/23 19:30:01
Total Players,54325,17/04/24 02:32:01
Germany,11723,17/04/24 04:32:01
UK,4051,17/04/24 03:32:01
USA,28122,17/04/23 19:32:01
Total Players,54377,17/04/24 02:34:01
Germany,11723,17/04/24 04:34:01
UK,4049,17/04/24 03:34:01
USA,28213,17/04/23 19:34:01
Total Players,54171,17/04/24 02:36:01
Germany,11695,17/04/24 04:36:01
UK,4047,17/04/24 03:36:01
USA,28019,17/04/23 19:36:01
Total Players,54099,17/04/24 02:38:01
Germany,11702,17/04/24 04:38:01
UK,4063,17/04/24 03:38:01
USA,28523,17/04/23 19:38:01
Total Players,53913,17/04/24 02:40:01
Germany,11620,17/04/24 04:40:01
UK,4101,17/04/24 03:40:01
USA,28457,17/04/23 19:40:01
Total Players,53809,17/04/24 02:42:01
Germany,11565,17/04/24 04:42:01
UK,4080,17/04/24 03:42:01
USA,28377,17/04/23 19:42:01
Total Players,53553,17/04/24 02:44:01
Germany,11492,17/04/24 04:44:01
UK,4049,17/04/24 03:44:01
USA,27727,17/04/23 19:44:01
Total Players,53460,17/04/24 02:46:01
Germany,11539,17/04/24 04:46:01
UK,4033,17/04/24 03:46:01
USA,27698,17/04/23 19:46:01
Total Players,53583,17/04/24 02:48:01
Germany,11585,17/04/24 04:48:01
UK,4028,17/04/24 03:48:01
USA,27729,17/04/23 19:48:01
Total Players,53507,17/04/24 02:50:01
Germany,11596,17/04/24 04:50:01
UK,4031,17/04/24 03:50:01
USA,27634,17/04/23 19:50:01
Total Players,53425,17/04/24 02:52:01
Germany,11542,17/04/24 04:52:01
UK,4027,17/04/24 03:52:01
USA,27638,17/04/23 19:52:01
Total Players,53270,17/04/24 02:54:01
Germany,11502,17/04/24 04:54:01
UK,4062,17/04/24 03:54:01
USA,27529,17/04/23 19:54:01
Total Players,53025,17/04/24 02:56:01
Germany,11501,17/04/24 04:56:01
UK,4018,17/04/24 03:56:01
USA,27341,17/04/23 19:56:01
Total Players,53030,17/04/24 02:58:01
Germany,11545,17/04/24 04:58:01
UK,4029,17/04/24 03:58:01
USA,27327,17/04/23 19:58:01
Total Players,52995,17/04/24 03:00:01
Germany,11522,17/04/24 05:00:01
UK,3989,17/04/24 04:00:01
USA,27342,17/04/23 20:00:01
Total Players,52928,17/04/24 03:02:01
Germany,11512,17/04/24 05:02:01
UK,4018,17/04/24 04:02:01
USA,27264,17/04/23 20:02:01
Total Players,52707,17/04/24 03:04:01
Germany,11469,17/04/24 05:04:01
UK,4021,17/04/24 04:04:01
USA,27185,17/04/23 20:04:01
Total Players,52620,17/04/24 03:06:01
Germany,11400,17/04/24 05:06:01
UK,4037,17/04/24 04:06:01
USA,27113,17/04/23 20:06:01
Total Players,52456,17/04/24 03:08:01
