Total Players,49328,17/05/10 00:00:01
Germany,10497,17/05/10 02:00:01
UK,4479,17/05/10 01:00:01
USA,25457,17/05/09 17:00:01
Total Players,49435,17/05/10 00:02:01
Germany,10521,17/05/10 02:02:01
UK,4495,17/05/10 01:02:01
USA,25495,17/05/09 17:02:01
Total Players,49352,17/05/10 00:04:01
Germany,10491,17/05/10 02:04:01
UK,4443,17/05/10 01:04:01
USA,25517,17/05/09 17:04:01
Total Players,49454,17/05/10 00:06:01
Germany,10550,17/05/10 02:06:01
UK,4443,17/05/10 01:06:01
USA,25540,17/05/09 17:06:01
Total Players,49461,17/05/10 00:08:01
Germany,10521,17/05/10 02:08:01
UK,4472,17/05/10 01:08:01
USA,25560,17/05/09 17:08:01
Total Players,49465,17/05/10 00:10:01
Germany,10550,17/05/10 02:10:01
UK,4468,17/05/10 01:10:01
USA,25606,17/05/09 17:10:01
Total Players,49506,17/05/10 00:12:01
Germany,10479,17/05/10 02:12:01
UK,4515,17/05/10 01:12:01
USA,25616,17/05/09 17:12:01
Total Players,49641,17/05/10 00:14:01
Germany,10497,17/05/10 02:14:01
UK,4486,17/05/10 01:14:01
USA,25763,17/05/09 17:14:01
Total Players,49595,17/05/10 00:16:01
Germany,10497,17/05/10 02:16:01
UK,4469,17/05/10 01:16:01
USA,25691,17/05/09 17:16:01
Total Players,49605,17/05/10 00:18:01
Germany,10504,17/05/10 02:18:01
UK,4473,17/05/10 01:18:01
USA,25714,17/05/09 17:18:01
Total Players,49752,17/05/10 00:20:01
Germany,10550,17/05/10 02:20:01
UK,4511,17/05/10 01:20:01
USA,26269,17/05/09 17:20:01
Total Players,49723,17/05/10 00:22:01
Germany,10575,17/05/10 02:22:01
UK,4482,17/05/10 01:22:01
USA,25774,17/05/09 17:22:01
Total Players,49756,17/05/10 00:24:01
Germany,10588,17/05/10 02:24:01
UK,4492,17/05/10 01:24:01
USA,25768,17/05/09 17:24:01
Total Players,49788,17/05/10 00:26:01
Germany,10575,17/05/10 02:26:01
UK,4500,17/05/10 01:26:01
USA,25820,17/05/09 17:26:01
Total Players,49707,17/05/10 00:28:01
Germany,10523,17/05/10 02:28:01
UK,4504,17/05/10 01:28:01
USA,25775,17/05/09 17:28:01
Total Players,49774,17/05/10 00:30:01
Germany,10532,17/05/10 02:30:01
UK,4485,17/05/10 01:30:01
USA,25767,17/05/09 17:30:01
Total Players,49664,17/05/10 00:32:01
Germany,10469,17/05/10 02:32:01
UK,4472,17/05/10 01:32:01
USA,25766,17/05/09 17:32:01
Total Players,49679,17/05/10 00:34:01
Germany,10439,17/05/10 02:34:01
UK,4484,17/05/10 01:34:01
USA,25759,17/05/09 17:34:01
Total Players,49577,17/05/10 00:36:01
Germany,10353,17/05/10 02:36:01
UK,4466,17/05/10 01:36:01
USA,25721,17/05/09 17:36:01
Total Players,49464,17/05/10 00:38:01
Germany,10359,17/05/10 02:38:01
UK,4431,17/05/10 01:38:01
USA,26297,17/05/09 17:38:01
Total Players,49404,17/05/10 00:40:01
Germany,10321,17/05/10 02:40:01
UK,4400,17/05/10 01:40:01
USA,25733,17/05/09 17:40:01
Total Players,49403,17/05/10 00:42:01
Germany,10286,17/05/10 02:42:01
UK,4403,17/05/10 01:42:01
USA,25661,17/05/09 17:42:01
Total Players,49325,17/05/10 00:44:01
Germany,10348,17/05/10 02:44:01
UK,4390,17/05/10 01:44:01
USA,25610,17/05/09 17:44:01
Total Players,49177,17/05/10 00:46:01
Germany,10365,17/05/10 02:46:01
UK,4322,17/05/10 01:46:01
USA,26198,17/05/09 17:46:01
Total Players,49241,17/05/10 00:48:01
Germany,10377,17/05/10 02:48:01
UK,4317,17/05/10 01:48:01
USA,26195,17/05/09 17:48:01
Total Players,49343,17/05/10 00:50:01
Germany,10385,17/05/10 02:50:01
UK,4331,17/05/10 01:50:01
USA,26261,17/05/09 17:50:01
Total Players,49325,17/05/10 00:52:01
Germany,10338,17/05/10 02:52:01
UK,4411,17/05/10 01:52:01
USA,25492,17/05/09 17:52:01
Total Players,49311,17/05/10 00:54:01
Germany,10365,17/05/10 02:54:01
UK,4364,17/05/10 01:54:01
USA,25580,17/05/09 17:54:01
Total Players,49248,17/05/10 00:56:01
Germany,10336,17/05/10 02:56:01
UK,4378,17/05/10 01:56:01
USA,25564,17/05/09 17:56:01
Total Players,49372,17/05/10 00:58:02
Germany,10389,17/05/10 02:58:02
UK,4390,17/05/10 01:58:02
USA,25587,17/05/09 17:58:02
Total Players,49480,17/05/10 01:00:01
Germany,10414,17/05/10 03:00:01
UK,4417,17/05/10 02:00:01
USA,25701,17/05/09 18:00:01
Total Players,49391,17/05/10 01:02:01
Germany,10369,17/05/10 03:02:01
UK,4426,17/05/10 02:02:01
USA,25680,17/05/09 18:02:01
Total Players,49401,17/05/10 01:04:01
Germany,10312,17/05/10 03:04:01
UK,4400,17/05/10 02:04:01
USA,25750,17/05/09 18:04:01
Total Players,49567,17/05/10 01:06:01
Germany,10312,17/05/10 03:06:01
UK,4412,17/05/10 02:06:01
USA,25888,17/05/09 18:06:01
Total Players,49616,17/05/10 01:08:01
Germany,10355,17/05/10 03:08:01
UK,4394,17/05/10 02:08:01
USA,25908,17/05/09 18:08:01
Total Players,49587,17/05/10 01:10:01
Germany,10283,17/05/10 03:10:01
UK,4414,17/05/10 02:10:01
USA,25874,17/05/09 18:10:01
Total Players,49687,17/05/10 01:12:01
Germany,10334,17/05/10 03:12:01
UK,4381,17/05/10 02:12:01
USA,26004,17/05/09 18:12:01
Total Players,49807,17/05/10 01:14:01
Germany,10371,17/05/10 03:14:01
UK,4352,17/05/10 02:14:01
USA,26144,17/05/09 18:14:01
Total Players,49778,17/05/10 01:16:01
Germany,10364,17/05/10 03:16:01
UK,4396,17/05/10 02:16:01
USA,26080,17/05/09 18:16:01
Total Players,49845,17/05/10 01:18:01
Germany,10401,17/05/10 03:18:01
UK,4380,17/05/10 02:18:01
USA,26110,17/05/09 18:18:01
Total Players,49847,17/05/10 01:20:01
Germany,10369,17/05/10 03:20:01
UK,4317,17/05/10 02:20:01
USA,26287,17/05/09 18:20:01
Total Players,49811,17/05/10 01:22:01
Germany,10386,17/05/10 03:22:01
UK,4351,17/05/10 02:22:01
USA,26233,17/05/09 18:22:01
Total Players,49812,17/05/10 01:24:01
Germany,10408,17/05/10 03:24:01
UK,4357,17/05/10 02:24:01
USA,26196,17/05/09 18:24:01
Total Players,49865,17/05/10 01:26:01
Germany,10370,17/05/10 03:26:01
UK,4375,17/05/10 02:26:01
USA,26273,17/05/09 18:26:01
Total Players,49815,17/05/10 01:28:01
Germany,10407,17/05/10 03:28:01
UK,4368,17/05/10 02:28:01
USA,26166,17/05/09 18:28:01
Total Players,49816,17/05/10 01:30:01
Germany,10382,17/05/10 03:30:01
UK,4364,17/05/10 02:30:01
USA,26184,17/05/09 18:30:01
Total Players,49687,17/05/10 01:32:01
Germany,10386,17/05/10 03:32:01
UK,4402,17/05/10 02:32:01
USA,26089,17/05/09 18:32:01
Total Players,49589,17/05/10 01:34:01
Germany,10389,17/05/10 03:34:01
UK,4370,17/05/10 02:34:01
USA,26006,17/05/09 18:34:01
Total Players,49463,17/05/10 01:36:01
Germany,10334,17/05/10 03:36:01
UK,4346,17/05/10 02:36:01
USA,25996,17/05/09 18:36:01
Total Players,49348,17/05/10 01:38:01
Germany,10294,17/05/10 03:38:01
UK,4341,17/05/10 02:38:01
USA,25926,17/05/09 18:38:01
Total Players,49403,17/05/10 01:40:01
Germany,10243,17/05/10 03:40:01
UK,4362,17/05/10 02:40:01
USA,26007,17/05/09 18:40:01
Total Players,49262,17/05/10 01:42:01
Germany,10227,17/05/10 03:42:01
UK,4379,17/05/10 02:42:01
USA,25928,17/05/09 18:42:01
Total Players,49167,17/05/10 01:44:01
Germany,10253,17/05/10 03:44:01
UK,4356,17/05/10 02:44:01
USA,25879,17/05/09 18:44:01
Total Players,49138,17/05/10 01:46:01
Germany,10188,17/05/10 03:46:01
UK,4357,17/05/10 02:46:01
USA,25918,17/05/09 18:46:01
